 0; 	  38.0159; 	   1181; 	  0.6; 	"";
 1; 	  44.9967; 	    546; 	  0.3; 	"";
 2; 	  50.0159; 	   3224; 	  1.6; 	"";
 3; 	  52.0187; 	    795; 	  0.4; 	"";
 4; 	  53.0035; 	   4321; 	  2.2; 	"";
 5; 	  58.9607; 	   3654; 	  1.8; 	"";
 6; 	  62.0154; 	   4246; 	  2.1; 	"";
 7; 	  63.0234; 	  64458; 	 32.1; 	"63.02";
 8; 	  63.0916; 	    969; 	  0.5; 	"";
 9; 	  64.0280; 	   7239; 	  3.6; 	"";
10; 	  66.0094; 	    680; 	  0.3; 	"";
11; 	  73.0075; 	   1746; 	  0.9; 	"";
12; 	  74.0154; 	 200520; 	100.0; 	"74.02";
13; 	  75.0218; 	  44135; 	 22.0; 	"75.02";
14; 	  76.0193; 	   8759; 	  4.4; 	"";
15; 	  77.0231; 	    705; 	  0.4; 	"";
16; 	  90.0097; 	   2141; 	  1.1; 	"";
17; 	  91.0179; 	  45094; 	 22.5; 	"91.02";
18; 	  92.0215; 	   2167; 	  1.1; 	"";
19; 	  94.9319; 	    505; 	  0.3; 	"";
20; 	 104.0123; 	    685; 	  0.3; 	"";
21; 	 116.9332; 	    849; 	  0.4; 	"";
22; 	 118.9310; 	   6927; 	  3.5; 	"";
23; 	 127.9249; 	    750; 	  0.4; 	"";
24; 	 129.9228; 	   1466; 	  0.7; 	"";
25; 	 144.9442; 	    727; 	  0.4; 	"";
26; 	 152.9327; 	  99703; 	 49.7; 	"152.93";
27; 	 153.9370; 	   7820; 	  3.9; 	"";
28; 	 154.9305; 	 155045; 	 77.3; 	"154.93";
29; 	 155.9350; 	   9163; 	  4.6; 	"";
30; 	 169.9352; 	    792; 	  0.4; 	"";
31; 	 171.9336; 	   1057; 	  0.5; 	"";
