 0; 	  38.0165; 	   1281; 	  0.3; 	"";
 1; 	  39.0241; 	   2037; 	  0.5; 	"";
 2; 	  50.0167; 	  13396; 	  3.2; 	"";
 3; 	  51.0233; 	   2749; 	  0.7; 	"";
 4; 	  52.0197; 	    681; 	  0.2; 	"";
 5; 	  53.0043; 	    727; 	  0.2; 	"";
 6; 	  62.0166; 	    664; 	  0.2; 	"";
 7; 	  63.0237; 	  50364; 	 11.9; 	"63.02";
 8; 	  63.0916; 	   1128; 	  0.3; 	"";
 9; 	  64.0308; 	  36180; 	  8.6; 	"";
10; 	  64.1001; 	    798; 	  0.2; 	"";
11; 	  65.0362; 	   3192; 	  0.8; 	"";
12; 	  66.0191; 	   1542; 	  0.4; 	"";
13; 	  68.9824; 	   3793; 	  0.9; 	"";
14; 	  73.0085; 	   1053; 	  0.2; 	"";
15; 	  74.0164; 	  29259; 	  6.9; 	"";
16; 	  75.0236; 	 421487; 	100.0; 	"75.02";
17; 	  75.1111; 	   1067; 	  0.3; 	"";
18; 	  76.0292; 	  53464; 	 12.7; 	"76.03";
19; 	  77.0307; 	   2819; 	  0.7; 	"";
20; 	  92.0260; 	  28041; 	  6.7; 	"";
21; 	  93.0291; 	   1913; 	  0.5; 	"";
22; 	 122.0235; 	   1057; 	  0.3; 	"";
0.0000
