 0; 	  63.0238; 	    562; 	  0.2; 	"";
 1; 	 118.9316; 	    577; 	  0.2; 	"";
 2; 	 142.9486; 	   6172; 	  2.0; 	"";
 3; 	 144.9455; 	   9405; 	  3.1; 	"";
 4; 	 170.9440; 	  14214; 	  4.7; 	"";
 5; 	 172.9412; 	  20168; 	  6.6; 	"";
 6; 	 173.9448; 	    526; 	  0.2; 	"";
 7; 	 198.9416; 	 206477; 	 67.6; 	"198.94";
 8; 	 199.9424; 	  19193; 	  6.3; 	"";
 9; 	 200.9389; 	 305281; 	100.0; 	"200.94";
10; 	 201.9398; 	  15217; 	  5.0; 	"";
11; 	 226.9442; 	  30755; 	 10.1; 	"226.94";
12; 	 227.9495; 	   2716; 	  0.9; 	"";
13; 	 228.9421; 	  50002; 	 16.4; 	"228.94";
14; 	 229.9443; 	   3960; 	  1.3; 	"";
87.2403
