 0; 	  74.0976; 	    734; 	  0.3; 	"";
 1; 	  76.0193; 	   2619; 	  1.1; 	"";
 2; 	  77.0251; 	    689; 	  0.3; 	"";
 3; 	 144.9460; 	    518; 	  0.2; 	"";
 4; 	 152.9306; 	   2717; 	  1.2; 	"";
 5; 	 154.9319; 	   3510; 	  1.5; 	"";
 6; 	 169.9356; 	   2000; 	  0.9; 	"";
 7; 	 171.9381; 	   2325; 	  1.0; 	"";
 8; 	 172.9403; 	   3185; 	  1.4; 	"";
 9; 	 199.9345; 	 112713; 	 48.6; 	"199.93";
10; 	 200.9374; 	  14186; 	  6.1; 	"";
11; 	 201.9334; 	 196650; 	 84.8; 	"201.93";
12; 	 202.9382; 	   8475; 	  3.7; 	"";
13; 	 227.9414; 	 131035; 	 56.5; 	"227.94";
14; 	 228.9434; 	  25019; 	 10.8; 	"228.94";
15; 	 229.9396; 	 231788; 	100.0; 	"229.94";
16; 	 230.9440; 	  12311; 	  5.3; 	"";
46.6800
