 0; 	  50.0164; 	    758; 	  0.1; 	"";
 1; 	  74.0980; 	  59634; 	 11.4; 	"74.10";
 2; 	  75.0243; 	   3685; 	  0.7; 	"";
 3; 	  76.0316; 	   7727; 	  1.5; 	"";
 4; 	 154.9497; 	 383892; 	 73.2; 	"154.95";
 5; 	 155.9526; 	  29181; 	  5.6; 	"";
 6; 	 156.9475; 	 524638; 	100.0; 	"156.95";
 7; 	 157.9505; 	  25700; 	  4.9; 	"";
 8; 	 182.9551; 	 166231; 	 31.7; 	"182.96";
 9; 	 183.1615; 	  18168; 	  3.5; 	"";
10; 	 183.9584; 	  13586; 	  2.6; 	"";
11; 	 184.9530; 	 241440; 	 46.0; 	"184.95";
12; 	 185.1623; 	  11301; 	  2.2; 	"";
13; 	 185.9550; 	  13008; 	  2.5; 	"";
