 0; 	  74.0885; 	  68883; 	 17.6; 	"74.09";
 1; 	  75.0071; 	   1237; 	  0.3; 	"";
 2; 	  75.0922; 	   1086; 	  0.3; 	"";
 3; 	  76.0157; 	   1291; 	  0.3; 	"";
 4; 	 154.9302; 	 278802; 	 71.1; 	"154.93";
 5; 	 155.9331; 	  21241; 	  5.4; 	"";
 6; 	 156.9355; 	 392169; 	100.0; 	"156.94";
 7; 	 157.9309; 	  18133; 	  4.6; 	"";
 8; 	 182.9346; 	  87673; 	 22.4; 	"182.93";
 9; 	 183.1510; 	   9778; 	  2.5; 	"";
10; 	 183.9393; 	   3780; 	  1.0; 	"";
11; 	 184.9355; 	 131164; 	 33.4; 	"184.94";
12; 	 185.1504; 	   1129; 	  0.3; 	"";
13; 	 185.9365; 	   3271; 	  0.8; 	"";
