 0; 	  50.0142; 	 250791; 	 55.2; 	"50.01";
 1; 	  50.0745; 	   3563; 	  0.8; 	"";
 2; 	  51.0187; 	   9706; 	  2.1; 	"";
 3; 	  74.0136; 	  64546; 	 14.2; 	"74.01";
 4; 	  74.0933; 	   9881; 	  2.2; 	"";
 5; 	  75.0212; 	 226871; 	 49.9; 	"75.02";
 6; 	  75.0972; 	   1962; 	  0.4; 	"";
 7; 	  76.0299; 	 454696; 	100.0; 	"76.03";
 8; 	  77.0325; 	  24265; 	  5.3; 	"";
 9; 	 128.9294; 	   4634; 	  1.0; 	"";
10; 	 130.9282; 	   6180; 	  1.4; 	"";
11; 	 154.9459; 	  18744; 	  4.1; 	"";
12; 	 156.9418; 	  30403; 	  6.7; 	"";
100.0000
