 0; 	  39.0246; 	   1252; 	  0.4; 	"";
 1; 	  51.0241; 	   6800; 	  2.1; 	"";
 2; 	  63.0242; 	   6342; 	  2.0; 	"";
 3; 	  64.0330; 	  15237; 	  4.7; 	"";
 4; 	  65.0351; 	   1518; 	  0.5; 	"";
 5; 	  77.0394; 	 246982; 	 76.4; 	"77.04";
 6; 	  78.0420; 	  21508; 	  6.7; 	"";
 7; 	  79.0564; 	  19452; 	  6.0; 	"";
 8; 	  80.0587; 	   1593; 	  0.5; 	"";
 9; 	  92.0257; 	 105800; 	 32.7; 	"92.03";
10; 	  93.0297; 	   9458; 	  2.9; 	"";
11; 	 107.0492; 	 323332; 	100.0; 	"107.05";
12; 	 108.0519; 	  34211; 	 10.6; 	"108.05";
13; 	 109.0553; 	   1601; 	  0.5; 	"";
14; 	 135.0555; 	  85835; 	 26.5; 	"135.06";
15; 	 136.0581; 	   6544; 	  2.0; 	"";
16; 	 137.0648; 	    518; 	  0.2; 	"";
89.5384
