 0; 	  65.0406; 	  36040; 	  6.2; 	"";
 1; 	  66.0428; 	   1704; 	  0.3; 	"";
 2; 	  73.0644; 	    942; 	  0.2; 	"";
 3; 	  74.0977; 	    709; 	  0.1; 	"";
 4; 	  75.0255; 	    529; 	  0.1; 	"";
 5; 	  93.0348; 	   4522; 	  0.8; 	"";
 6; 	 103.0194; 	    774; 	  0.1; 	"";
 7; 	 110.0114; 	   5053; 	  0.9; 	"";
 8; 	 121.0299; 	 579637; 	100.0; 	"121.03";
 9; 	 122.0332; 	  52018; 	  9.0; 	"";
10; 	 123.0347; 	   2478; 	  0.4; 	"";
11; 	 149.0361; 	  41830; 	  7.2; 	"";
12; 	 150.0387; 	   1835; 	  0.3; 	"";
13; 	 151.0351; 	    607; 	  0.1; 	"";
