 0; 	  39.0254; 	  97325; 	100.0; 	"39.03";
 1; 	  40.0287; 	   4023; 	  4.1; 	"";
 2; 	  44.9996; 	    603; 	  0.6; 	"";
 3; 	  50.0166; 	    829; 	  0.9; 	"";
 4; 	  51.0253; 	   5235; 	  5.4; 	"";
 5; 	  53.0040; 	    960; 	  1.0; 	"";
 6; 	  63.0256; 	    865; 	  0.9; 	"";
 7; 	  64.0321; 	    912; 	  0.9; 	"";
 8; 	  65.0410; 	  55026; 	 56.5; 	"65.04";
 9; 	  65.1102; 	    731; 	  0.8; 	"";
10; 	  66.0440; 	   2889; 	  3.0; 	"";
11; 	  74.0175; 	   9488; 	  9.7; 	"";
12; 	  75.0252; 	  55500; 	 57.0; 	"75.03";
13; 	  76.0292; 	   3595; 	  3.7; 	"";
0.0000
