 0; 	  39.0238; 	    752; 	  0.3; 	"";
 1; 	  64.0321; 	   1415; 	  0.6; 	"";
 2; 	  74.0157; 	    525; 	  0.2; 	"";
 3; 	  74.0973; 	   2022; 	  0.8; 	"";
 4; 	  75.0242; 	  11911; 	  5.0; 	"";
 5; 	  76.0269; 	    848; 	  0.4; 	"";
 6; 	  92.0269; 	  10782; 	  4.5; 	"";
 7; 	  93.0318; 	    539; 	  0.2; 	"";
 8; 	 109.5141; 	    590; 	  0.2; 	"";
 9; 	 110.0095; 	  17333; 	  7.2; 	"";
10; 	 111.0104; 	   1061; 	  0.4; 	"";
11; 	 112.0070; 	   1043; 	  0.4; 	"";
12; 	 122.0241; 	 240148; 	100.0; 	"122.02";
13; 	 123.0266; 	  21023; 	  8.8; 	"";
14; 	 124.0289; 	    975; 	  0.4; 	"";
15; 	 150.0299; 	  48981; 	 20.4; 	"150.03";
16; 	 151.0345; 	  10105; 	  4.2; 	"";
17; 	 152.0365; 	   1225; 	  0.5; 	"";
18; 	 153.0353; 	    622; 	  0.3; 	"";
