 0; 	  39.0232; 	    526; 	  0.1; 	"";
 1; 	  51.0230; 	    639; 	  0.2; 	"";
 2; 	  74.0978; 	   1420; 	  0.4; 	"";
 3; 	  75.0234; 	  14750; 	  3.9; 	"";
 4; 	  76.0272; 	    784; 	  0.2; 	"";
 5; 	  89.0025; 	    821; 	  0.2; 	"";
 6; 	  92.0263; 	  23024; 	  6.0; 	"";
 7; 	  93.0299; 	    684; 	  0.2; 	"";
 8; 	 109.5155; 	   4178; 	  1.1; 	"";
 9; 	 110.0084; 	  22064; 	  5.8; 	"";
10; 	 122.0226; 	 382637; 	100.0; 	"122.02";
11; 	 123.0244; 	  36854; 	  9.6; 	"";
12; 	 124.0291; 	    860; 	  0.2; 	"";
13; 	 150.0296; 	  31582; 	  8.3; 	"";
14; 	 151.0310; 	   2787; 	  0.7; 	"";
