 0; 	  50.9775; 	   1253; 	  0.1; 	"";
 1; 	  74.9720; 	    671; 	  0.1; 	"";
 2; 	  76.9878; 	  13629; 	  1.5; 	"";
 3; 	  77.9913; 	   1824; 	  0.2; 	"";
 4; 	 100.9854; 	   3440; 	  0.4; 	"";
 5; 	 101.9857; 	    620; 	  0.1; 	"";
 6; 	 102.9988; 	    645; 	  0.1; 	"";
 7; 	 125.9895; 	   5329; 	  0.6; 	"";
 8; 	 126.9978; 	 880501; 	100.0; 	"127.00";
 9; 	 127.1480; 	    637; 	  0.1; 	"";
10; 	 128.0011; 	 146954; 	 16.7; 	"128.00";
11; 	 129.0046; 	   5960; 	  0.7; 	"";
12; 	 130.0069; 	    689; 	  0.1; 	"";
13; 	 130.9921; 	    636; 	  0.1; 	"";
14; 	 145.0078; 	    614; 	  0.1; 	"";
15; 	 155.0027; 	  38607; 	  4.4; 	"";
16; 	 156.0068; 	   4942; 	  0.6; 	"";
17; 	 158.0002; 	   1863; 	  0.2; 	"";
95.9045
