 0; 	  51.0243; 	   1479; 	  0.2; 	"";
 1; 	  75.0232; 	   1023; 	  0.1; 	"";
 2; 	  77.0387; 	  10349; 	  1.3; 	"";
 3; 	  78.0418; 	   1089; 	  0.1; 	"";
 4; 	 101.0389; 	   2756; 	  0.4; 	"";
 5; 	 103.0559; 	    707; 	  0.1; 	"";
 6; 	 126.0448; 	   4073; 	  0.5; 	"";
 7; 	 127.0520; 	 767810; 	100.0; 	"127.05";
 8; 	 128.0579; 	 137417; 	 17.9; 	"128.06";
 9; 	 129.0605; 	   5803; 	  0.8; 	"";
10; 	 130.0663; 	    965; 	  0.1; 	"";
11; 	 131.0498; 	   1422; 	  0.2; 	"";
12; 	 145.0640; 	    612; 	  0.1; 	"";
13; 	 155.0598; 	  19433; 	  2.5; 	"";
14; 	 156.0640; 	   3084; 	  0.4; 	"";
15; 	 157.0756; 	    537; 	  0.1; 	"";
16; 	 158.0617; 	   1233; 	  0.2; 	"";
17; 	 159.0443; 	    656; 	  0.1; 	"";
