 0; 	  38.9638; 	   6387; 	  2.6; 	"";
 1; 	  39.0234; 	  43087; 	 17.6; 	"39.02";
 2; 	  39.0767; 	    893; 	  0.4; 	"";
 3; 	  40.0273; 	   1900; 	  0.8; 	"";
 4; 	  53.0041; 	   3316; 	  1.4; 	"";
 5; 	  61.0077; 	   3124; 	  1.3; 	"";
 6; 	  63.0234; 	    573; 	  0.2; 	"";
 7; 	  94.0290; 	 245491; 	100.0; 	"94.03";
 8; 	  95.0325; 	  20069; 	  8.2; 	"";
 9; 	  96.0342; 	   1117; 	  0.5; 	"";
10; 	 110.0243; 	   1201; 	  0.5; 	"";
11; 	 122.0350; 	  18523; 	  7.5; 	"";
12; 	 122.9250; 	   3351; 	  1.4; 	"";
13; 	 126.0185; 	   1764; 	  0.7; 	"";
93.2616
