 0; 	  38.9639; 	   6662; 	  7.9; 	"";
 1; 	  39.0236; 	  84427; 	100.0; 	"39.02";
 2; 	  40.0270; 	   4301; 	  5.1; 	"";
 3; 	  40.4938; 	    540; 	  0.6; 	"";
 4; 	  40.9624; 	    555; 	  0.7; 	"";
 5; 	  53.0029; 	  12075; 	 14.3; 	"53.00";
 6; 	  54.0077; 	    565; 	  0.7; 	"";
 7; 	  61.0097; 	   4393; 	  5.2; 	"";
 8; 	  63.0237; 	    756; 	  0.9; 	"";
 9; 	  64.0319; 	    837; 	  1.0; 	"";
10; 	  94.0289; 	  71120; 	 84.2; 	"94.03";
11; 	  95.0323; 	   5681; 	  6.7; 	"";
12; 	  96.0363; 	    532; 	  0.6; 	"";
13; 	 110.0239; 	   3204; 	  3.8; 	"";
0.0000
