 0; 	  39.0241; 	    774; 	  0.1; 	"";
 1; 	  49.0077; 	   1551; 	  0.3; 	"";
 2; 	  50.0161; 	 116775; 	 21.0; 	"50.02";
 3; 	  51.0232; 	 555060; 	100.0; 	"51.02";
 4; 	  51.0849; 	    609; 	  0.1; 	"";
 5; 	  52.0266; 	  32277; 	  5.8; 	"";
 6; 	  52.0888; 	    631; 	  0.1; 	"";
 7; 	  53.0322; 	    776; 	  0.1; 	"";
 8; 	  73.0072; 	    641; 	  0.1; 	"";
 9; 	  74.0153; 	   7528; 	  1.4; 	"";
10; 	  75.0223; 	   4099; 	  0.7; 	"";
11; 	  77.0383; 	  26003; 	  4.7; 	"";
12; 	  78.0429; 	   1919; 	  0.3; 	"";
100.0000
