 0; 	  39.0251; 	   3544; 	  2.3; 	"";
 1; 	  42.6930; 	    107; 	  0.1; 	"";
 2; 	  45.0010; 	    222; 	  0.1; 	"";
 3; 	  51.0250; 	  19097; 	 12.2; 	"51.03";
 4; 	  52.0278; 	    883; 	  0.6; 	"";
 5; 	  53.0052; 	   2792; 	  1.8; 	"";
 6; 	  59.7132; 	    120; 	  0.1; 	"";
 7; 	  63.0252; 	    609; 	  0.4; 	"";
 8; 	  64.0319; 	   1147; 	  0.7; 	"";
 9; 	  66.0372; 	   1186; 	  0.8; 	"";
10; 	  67.0213; 	    143; 	  0.1; 	"";
11; 	  68.0132; 	    106; 	  0.1; 	"";
12; 	  78.0341; 	  11752; 	  7.5; 	"";
13; 	  79.0373; 	    220; 	  0.1; 	"";
14; 	  82.8398; 	    276; 	  0.2; 	"";
15; 	  92.0273; 	  22832; 	 14.6; 	"92.03";
16; 	  93.0255; 	   1387; 	  0.9; 	"";
17; 	  94.0299; 	  25749; 	 16.5; 	"94.03";
18; 	  95.0306; 	   1032; 	  0.7; 	"";
19; 	  96.5168; 	    266; 	  0.2; 	"";
20; 	 149.0211; 	    285; 	  0.2; 	"";
21; 	 150.0311; 	 156185; 	100.0; 	"150.03";
22; 	 151.0337; 	  11099; 	  7.1; 	"";
23; 	 152.0331; 	    234; 	  0.2; 	"";
24; 	 153.2246; 	    278; 	  0.2; 	"";
25; 	 154.0604; 	    113; 	  0.1; 	"";
26; 	 155.0550; 	    119; 	  0.1; 	"";
27; 	 156.0605; 	    250; 	  0.2; 	"";
28; 	 157.0301; 	    106; 	  0.1; 	"";
29; 	 158.0644; 	    558; 	  0.4; 	"";
30; 	 160.0714; 	    126; 	  0.1; 	"";
31; 	 166.0634; 	    110; 	  0.1; 	"";
32; 	 183.5900; 	    220; 	  0.1; 	"";
33; 	 194.2486; 	    207; 	  0.1; 	"";
34; 	 253.4032; 	    234; 	  0.1; 	"";
35; 	 403.0885; 	    213; 	  0.1; 	"";
36; 	 481.8765; 	    258; 	  0.2; 	"";
37; 	 492.3452; 	    248; 	  0.2; 	"";
38; 	 575.8590; 	    179; 	  0.1; 	"";
39; 	 643.7673; 	    260; 	  0.2; 	"";
