 0; 	  45.1614; 	    263; 	  1.2; 	"";
 1; 	  62.1557; 	    122; 	  0.6; 	"";
 2; 	  75.6737; 	    171; 	  0.8; 	"";
 3; 	  77.0594; 	  21186; 	100.0; 	"77.06";
 4; 	  78.0653; 	    954; 	  4.5; 	"";
 5; 	 105.0502; 	   4451; 	 21.0; 	"105.05";
 6; 	 111.0928; 	   8197; 	 38.7; 	"111.09";
 7; 	 112.1681; 	    139; 	  0.7; 	"";
 8; 	 117.0077; 	    261; 	  1.2; 	"";
 9; 	 132.1690; 	    204; 	  1.0; 	"";
10; 	 151.1062; 	    136; 	  0.6; 	"";
11; 	 200.9898; 	    277; 	  1.3; 	"";
12; 	 293.9906; 	    271; 	  1.3; 	"";
13; 	 649.9826; 	    114; 	  0.5; 	"";
