 0; 	  51.0563; 	    882; 	  3.6; 	"";
 1; 	  66.5527; 	    167; 	  0.7; 	"";
 2; 	  77.0592; 	  22200; 	 90.5; 	"77.06";
 3; 	  78.0622; 	   1230; 	  5.0; 	"";
 4; 	  83.0757; 	   4283; 	 17.5; 	"83.08";
 5; 	  84.0763; 	    148; 	  0.6; 	"";
 6; 	 111.0896; 	  24538; 	100.0; 	"111.09";
 7; 	 112.0895; 	    658; 	  2.7; 	"";
 8; 	 131.8765; 	    143; 	  0.6; 	"";
 9; 	 381.1274; 	    100; 	  0.4; 	"";
10; 	 486.1308; 	    263; 	  1.1; 	"";
11; 	 505.8729; 	    283; 	  1.2; 	"";
12; 	 561.3731; 	    262; 	  1.1; 	"";
13; 	 690.8027; 	    269; 	  1.1; 	"";
