 0; 	  43.5138; 	    249; 	  5.6; 	"";
 1; 	  65.0868; 	    270; 	  6.1; 	"";
 2; 	  69.9509; 	    277; 	  6.2; 	"";
 3; 	  73.3582; 	    259; 	  5.8; 	"";
 4; 	 112.3946; 	    127; 	  2.9; 	"";
 5; 	 121.0222; 	   4449; 	100.0; 	"121.02";
 6; 	 122.0247; 	    634; 	 14.3; 	"122.02";
 7; 	 149.0488; 	    724; 	 16.3; 	"149.05";
 8; 	 240.8607; 	    260; 	  5.8; 	"";
 9; 	 263.3455; 	    259; 	  5.8; 	"";
10; 	 265.6632; 	    257; 	  5.8; 	"";
11; 	 369.6385; 	    278; 	  6.2; 	"";
12; 	 699.9245; 	    107; 	  2.4; 	"";
