 0; 	  48.0311; 	    251; 	 28.6; 	"48.03";
 1; 	  64.4762; 	    284; 	 32.3; 	"64.48";
 2; 	  65.0717; 	    879; 	100.0; 	"65.07";
 3; 	  89.2794; 	    107; 	 12.2; 	"89.28";
 4; 	  93.0695; 	    110; 	 12.5; 	"93.07";
 5; 	 121.0321; 	    221; 	 25.2; 	"121.03";
 6; 	 126.0481; 	    104; 	 11.9; 	"126.05";
 7; 	 150.9723; 	    111; 	 12.7; 	"150.97";
 8; 	 152.0362; 	    150; 	 17.0; 	"152.04";
 9; 	 225.7969; 	    168; 	 19.1; 	"225.80";
10; 	 255.8145; 	    141; 	 16.0; 	"255.81";
11; 	 295.0894; 	    263; 	 29.9; 	"295.09";
12; 	 346.9564; 	    210; 	 23.9; 	"346.96";
13; 	 354.3701; 	    109; 	 12.4; 	"354.37";
14; 	 448.4297; 	    258; 	 29.3; 	"448.43";
