 0; 	  26.1648; 	    183; 	 12.5; 	"26.16";
 1; 	  50.1305; 	    258; 	 17.6; 	"50.13";
 2; 	  59.3072; 	    259; 	 17.6; 	"59.31";
 3; 	  92.0484; 	    124; 	  8.4; 	"";
 4; 	  93.1252; 	    107; 	  7.3; 	"";
 5; 	 116.0551; 	    399; 	 27.2; 	"116.06";
 6; 	 120.0453; 	    124; 	  8.5; 	"";
 7; 	 122.0919; 	    516; 	 35.2; 	"122.09";
 8; 	 148.0348; 	   1468; 	100.0; 	"148.03";
 9; 	 150.0264; 	    268; 	 18.3; 	"150.03";
10; 	 231.7494; 	    257; 	 17.5; 	"231.75";
11; 	 341.2390; 	    185; 	 12.6; 	"341.24";
12; 	 367.4640; 	    262; 	 17.8; 	"367.46";
13; 	 552.5836; 	    269; 	 18.3; 	"552.58";
14; 	 553.4422; 	    261; 	 17.7; 	"553.44";
15; 	 604.8945; 	    264; 	 18.0; 	"604.89";
