 0; 	  51.0250; 	    102; 	  0.2; 	"";
 1; 	  57.7206; 	    270; 	  0.5; 	"";
 2; 	  63.0249; 	    124; 	  0.2; 	"";
 3; 	  64.0320; 	    124; 	  0.2; 	"";
 4; 	  75.0905; 	   1239; 	  2.4; 	"";
 5; 	  92.0220; 	   1193; 	  2.4; 	"";
 6; 	 106.0984; 	    110; 	  0.2; 	"";
 7; 	 120.5528; 	    118; 	  0.2; 	"";
 8; 	 122.0236; 	  28572; 	 56.3; 	"122.02";
 9; 	 122.1851; 	    106; 	  0.2; 	"";
10; 	 123.0939; 	   2103; 	  4.1; 	"";
11; 	 150.0286; 	  50709; 	100.0; 	"150.03";
12; 	 150.1986; 	    155; 	  0.3; 	"";
13; 	 151.0319; 	   2995; 	  5.9; 	"";
14; 	 205.8225; 	    257; 	  0.5; 	"";
15; 	 226.1959; 	    169; 	  0.3; 	"";
16; 	 251.0630; 	    163; 	  0.3; 	"";
17; 	 436.9086; 	    194; 	  0.4; 	"";
18; 	 438.0630; 	    360; 	  0.7; 	"";
19; 	 441.0737; 	    106; 	  0.2; 	"";
20; 	 442.1851; 	    107; 	  0.2; 	"";
21; 	 449.0083; 	  34571; 	 68.2; 	"449.01";
22; 	 450.0104; 	   5746; 	 11.3; 	"450.01";
23; 	 451.0114; 	   1922; 	  3.8; 	"";
24; 	 451.9941; 	    205; 	  0.4; 	"";
25; 	 462.0934; 	   4942; 	  9.7; 	"";
26; 	 463.0857; 	   1144; 	  2.3; 	"";
27; 	 464.1550; 	   2243; 	  4.4; 	"";
28; 	 465.1586; 	    118; 	  0.2; 	"";
29; 	 691.4110; 	    278; 	  0.5; 	"";
