 0; 	  79.1091; 	    106; 	 23.4; 	"79.11";
 1; 	 107.0150; 	    103; 	 22.7; 	"107.02";
 2; 	 116.0511; 	    157; 	 34.7; 	"116.05";
 3; 	 120.0466; 	    123; 	 27.1; 	"120.05";
 4; 	 122.8428; 	    261; 	 57.6; 	"122.84";
 5; 	 148.0410; 	    454; 	100.0; 	"148.04";
 6; 	 157.0760; 	    103; 	 22.7; 	"157.08";
 7; 	 180.5682; 	    271; 	 59.8; 	"180.57";
 8; 	 260.9729; 	    263; 	 58.0; 	"260.97";
 9; 	 265.1582; 	    268; 	 59.0; 	"265.16";
10; 	 309.9583; 	    256; 	 56.5; 	"309.96";
11; 	 398.0548; 	    269; 	 59.4; 	"398.05";
12; 	 419.4641; 	    267; 	 58.8; 	"419.46";
13; 	 434.9940; 	    190; 	 42.0; 	"434.99";
14; 	 564.0442; 	    268; 	 59.0; 	"564.04";
15; 	 653.6301; 	    166; 	 36.6; 	"653.63";
