 0; 	  29.5189; 	    262; 	  0.6; 	"";
 1; 	  53.0677; 	    106; 	  0.3; 	"";
 2; 	  53.7972; 	    259; 	  0.6; 	"";
 3; 	  64.0339; 	    282; 	  0.7; 	"";
 4; 	  74.0900; 	    294; 	  0.7; 	"";
 5; 	  75.0231; 	   1267; 	  3.1; 	"";
 6; 	  75.1116; 	    104; 	  0.3; 	"";
 7; 	  92.0281; 	    646; 	  1.6; 	"";
 8; 	 104.5987; 	    259; 	  0.6; 	"";
 9; 	 118.7602; 	    126; 	  0.3; 	"";
10; 	 122.0265; 	  21723; 	 53.9; 	"122.03";
11; 	 123.0274; 	    709; 	  1.8; 	"";
12; 	 124.0311; 	    111; 	  0.3; 	"";
13; 	 150.0314; 	  40302; 	100.0; 	"150.03";
14; 	 150.1971; 	    114; 	  0.3; 	"";
15; 	 151.0317; 	   2392; 	  5.9; 	"";
16; 	 206.6943; 	    160; 	  0.4; 	"";
17; 	 375.7581; 	    151; 	  0.4; 	"";
18; 	 444.8722; 	    154; 	  0.4; 	"";
19; 	 449.0117; 	  25706; 	 63.8; 	"449.01";
20; 	 450.0233; 	   3985; 	  9.9; 	"";
21; 	 451.0087; 	   1380; 	  3.4; 	"";
22; 	 454.8125; 	    101; 	  0.3; 	"";
23; 	 457.3552; 	    116; 	  0.3; 	"";
24; 	 462.1728; 	   2029; 	  5.0; 	"";
25; 	 464.1020; 	    933; 	  2.3; 	"";
26; 	 507.0639; 	    282; 	  0.7; 	"";
27; 	 540.2595; 	    205; 	  0.5; 	"";
