  0; 	  26.1648; 	    183; 	 12.5; 	 0.00; 	"12.50";
  1; 	  50.1305; 	    258; 	 17.6; 	 0.00; 	"17.60";
  2; 	  59.3072; 	    259; 	 17.6; 	 0.00; 	"17.60";
  3; 	  92.0484; 	    124; 	  8.4; 	 0.00; 	"";
  4; 	  93.1252; 	    107; 	  7.3; 	 0.00; 	"";
  5; 	 116.0551; 	    399; 	 27.2; 	 0.00; 	"27.20";
  6; 	 120.0453; 	    124; 	  8.5; 	 0.00; 	"";
  7; 	 122.0919; 	    516; 	 35.2; 	 0.00; 	"35.20";
  8; 	 148.0348; 	   1468; 	100.0; 	 0.00; 	"100.00";
  9; 	 150.0264; 	    268; 	 18.3; 	 0.00; 	"18.30";
 10; 	 231.7494; 	    257; 	 17.5; 	 0.00; 	"17.50";
 11; 	 341.2390; 	    185; 	 12.6; 	 0.00; 	"12.60";
 12; 	 367.4640; 	    262; 	 17.8; 	 0.00; 	"17.80";
 13; 	 552.5836; 	    269; 	 18.3; 	 0.00; 	"18.30";
 14; 	 553.4422; 	    261; 	 17.7; 	 0.00; 	"17.70";
 15; 	 604.8945; 	    264; 	 18.0; 	 0.00; 	"18.00";
 16; 	  79.1091; 	    106; 	 23.4; 	 0.01; 	"23.40";
 17; 	 107.0150; 	    103; 	 22.7; 	 0.01; 	"22.70";
 18; 	 116.0511; 	    157; 	 34.7; 	 0.01; 	"34.70";
 19; 	 120.0466; 	    123; 	 27.1; 	 0.01; 	"27.10";
 20; 	 122.8428; 	    261; 	 57.6; 	 0.01; 	"57.60";
 21; 	 148.0410; 	    454; 	100.0; 	 0.01; 	"100.00";
 22; 	 157.0760; 	    103; 	 22.7; 	 0.01; 	"22.70";
 23; 	 180.5682; 	    271; 	 59.8; 	 0.01; 	"59.80";
 24; 	 260.9729; 	    263; 	 58.0; 	 0.01; 	"58.00";
 25; 	 265.1582; 	    268; 	 59.0; 	 0.01; 	"59.00";
 26; 	 309.9583; 	    256; 	 56.5; 	 0.01; 	"56.50";
 27; 	 398.0548; 	    269; 	 59.4; 	 0.01; 	"59.40";
 28; 	 419.4641; 	    267; 	 58.8; 	 0.01; 	"58.80";
 29; 	 434.9940; 	    190; 	 42.0; 	 0.01; 	"42.00";
 30; 	 564.0442; 	    268; 	 59.0; 	 0.01; 	"59.00";
 31; 	 653.6301; 	    166; 	 36.6; 	 0.01; 	"36.60";
 32; 	  31.2933; 	    102; 	  6.3; 	 0.10; 	"";
 33; 	  32.9793; 	    115; 	  7.1; 	 0.10; 	"";
 34; 	  51.0251; 	    109; 	  6.7; 	 0.10; 	"";
 35; 	  80.6037; 	    283; 	 17.5; 	 0.10; 	"17.50";
 36; 	 102.1626; 	    259; 	 16.0; 	 0.10; 	"16.00";
 37; 	 116.0509; 	    328; 	 20.3; 	 0.10; 	"20.30";
 38; 	 122.0225; 	    424; 	 26.3; 	 0.10; 	"26.30";
 39; 	 148.0375; 	   1616; 	100.0; 	 0.10; 	"100.00";
 40; 	 149.0348; 	    109; 	  6.8; 	 0.10; 	"";
 41; 	 152.0625; 	    133; 	  8.2; 	 0.10; 	"";
 42; 	 164.1122; 	    113; 	  7.0; 	 0.10; 	"";
 43; 	 181.7364; 	    204; 	 12.6; 	 0.10; 	"12.60";
 44; 	 183.7498; 	    111; 	  6.8; 	 0.10; 	"";
 45; 	 224.7910; 	    119; 	  7.4; 	 0.10; 	"";
 46; 	 355.2701; 	    108; 	  6.7; 	 0.10; 	"";
 47; 	 580.5076; 	    183; 	 11.3; 	 0.10; 	"11.30";
 48; 	 646.8856; 	    204; 	 12.6; 	 0.10; 	"12.60";
 49; 	  92.0532; 	    132; 	 39.3; 	 1.00; 	"39.30";
 50; 	 107.0765; 	    259; 	 76.9; 	 1.00; 	"76.90";
 51; 	 122.0287; 	    337; 	100.0; 	 1.00; 	"100.00";
 52; 	 135.5791; 	    264; 	 78.4; 	 1.00; 	"78.40";
 53; 	 151.1059; 	    103; 	 30.5; 	 1.00; 	"30.50";
 54; 	 191.8912; 	    161; 	 47.7; 	 1.00; 	"47.70";
 55; 	 280.0769; 	    172; 	 51.0; 	 1.00; 	"51.00";
 56; 	 311.3236; 	    120; 	 35.6; 	 1.00; 	"35.60";
 57; 	 509.4750; 	    260; 	 77.3; 	 1.00; 	"77.30";
 58; 	  33.3547; 	    133; 	 38.8; 	10.00; 	"38.80";
 59; 	  44.9968; 	    134; 	 39.1; 	10.00; 	"39.10";
