 0; 	  24.3886; 	    269; 	  0.1; 	"";
 1; 	  31.5110; 	    188; 	  0.1; 	"";
 2; 	  33.3119; 	    274; 	  0.1; 	"";
 3; 	  36.1455; 	    184; 	  0.1; 	"";
 4; 	  39.0245; 	    778; 	  0.3; 	"";
 5; 	  50.3651; 	    248; 	  0.1; 	"";
 6; 	  51.0240; 	    444; 	  0.1; 	"";
 7; 	  52.0195; 	    337; 	  0.1; 	"";
 8; 	  63.0250; 	    459; 	  0.2; 	"";
 9; 	  64.0306; 	   1990; 	  0.7; 	"";
10; 	  65.0401; 	    235; 	  0.1; 	"";
11; 	  67.0178; 	    131; 	  0.0; 	"";
12; 	  74.0127; 	    559; 	  0.2; 	"";
13; 	  75.0212; 	  17158; 	  5.7; 	"";
14; 	  76.0274; 	   1349; 	  0.4; 	"";
15; 	  77.0238; 	    139; 	  0.0; 	"";
16; 	  91.0926; 	    284; 	  0.1; 	"";
17; 	  92.0226; 	  17676; 	  5.9; 	"";
18; 	  93.0330; 	   1364; 	  0.5; 	"";
19; 	  99.2614; 	    141; 	  0.0; 	"";
20; 	 111.0460; 	    127; 	  0.0; 	"";
21; 	 117.0559; 	    102; 	  0.0; 	"";
22; 	 120.0469; 	    147; 	  0.0; 	"";
23; 	 121.0254; 	   4490; 	  1.5; 	"";
24; 	 122.0225; 	 301574; 	100.0; 	"122.02";
25; 	 122.1450; 	    485; 	  0.2; 	"";
26; 	 123.0272; 	  21981; 	  7.3; 	"";
27; 	 124.0252; 	   1405; 	  0.5; 	"";
28; 	 140.0330; 	   1209; 	  0.4; 	"";
29; 	 148.0392; 	    256; 	  0.1; 	"";
30; 	 149.0345; 	   1833; 	  0.6; 	"";
31; 	 150.0314; 	  78342; 	 26.0; 	"150.03";
32; 	 151.0362; 	   5406; 	  1.8; 	"";
33; 	 152.0674; 	    504; 	  0.2; 	"";
34; 	 153.0618; 	    133; 	  0.0; 	"";
35; 	 158.1006; 	    142; 	  0.0; 	"";
36; 	 158.9550; 	    114; 	  0.0; 	"";
37; 	 163.0872; 	    358; 	  0.1; 	"";
38; 	 166.0457; 	    163; 	  0.1; 	"";
39; 	 177.4995; 	    139; 	  0.0; 	"";
40; 	 181.3970; 	    107; 	  0.0; 	"";
41; 	 212.8305; 	    146; 	  0.0; 	"";
42; 	 276.8972; 	    136; 	  0.0; 	"";
43; 	 345.3413; 	    104; 	  0.0; 	"";
44; 	 440.2371; 	    196; 	  0.1; 	"";
45; 	 449.2642; 	    261; 	  0.1; 	"";
46; 	 459.9034; 	    261; 	  0.1; 	"";
47; 	 503.4817; 	    257; 	  0.1; 	"";
48; 	 514.2355; 	    285; 	  0.1; 	"";
49; 	 667.9985; 	    115; 	  0.0; 	"";
