  0; 	  28.4144; 	    107; 	  0.0; 	 0.00; 	"";
  1; 	  39.0210; 	    645; 	  0.2; 	 0.00; 	"";
  2; 	  46.6977; 	    132; 	  0.0; 	 0.00; 	"";
  3; 	  51.0231; 	   1155; 	  0.4; 	 0.00; 	"";
  4; 	  53.9991; 	    178; 	  0.1; 	 0.00; 	"";
  5; 	  57.0392; 	    142; 	  0.0; 	 0.00; 	"";
  6; 	  63.0216; 	    544; 	  0.2; 	 0.00; 	"";
  7; 	  64.0274; 	   1604; 	  0.5; 	 0.00; 	"";
  8; 	  65.0419; 	    613; 	  0.2; 	 0.00; 	"";
  9; 	  67.0159; 	    164; 	  0.1; 	 0.00; 	"";
 10; 	  70.2218; 	    120; 	  0.0; 	 0.00; 	"";
 11; 	  74.0155; 	    335; 	  0.1; 	 0.00; 	"";
 12; 	  75.0224; 	  19769; 	  6.1; 	 0.00; 	"";
 13; 	  76.0299; 	   1606; 	  0.5; 	 0.00; 	"";
 14; 	  77.0273; 	    125; 	  0.0; 	 0.00; 	"";
 15; 	  92.0256; 	  20595; 	  6.4; 	 0.00; 	"";
 16; 	  93.0314; 	   1893; 	  0.6; 	 0.00; 	"";
 17; 	  94.0373; 	    112; 	  0.0; 	 0.00; 	"";
 18; 	 107.0543; 	    111; 	  0.0; 	 0.00; 	"";
 19; 	 109.0991; 	    108; 	  0.0; 	 0.00; 	"";
 20; 	 120.0441; 	    132; 	  0.0; 	 0.00; 	"";
 21; 	 121.0233; 	   4399; 	  1.4; 	 0.00; 	"";
 22; 	 122.0246; 	 324263; 	100.0; 	 0.00; 	"100.00";
 23; 	 122.1517; 	    127; 	  0.0; 	 0.00; 	"";
 24; 	 123.0262; 	  23699; 	  7.3; 	 0.00; 	"";
 25; 	 124.0286; 	   1604; 	  0.5; 	 0.00; 	"";
 26; 	 128.7316; 	    148; 	  0.0; 	 0.00; 	"";
 27; 	 129.4213; 	    110; 	  0.0; 	 0.00; 	"";
 28; 	 131.3801; 	    262; 	  0.1; 	 0.00; 	"";
 29; 	 134.0844; 	    106; 	  0.0; 	 0.00; 	"";
 30; 	 140.0313; 	    835; 	  0.3; 	 0.00; 	"";
 31; 	 148.0382; 	    990; 	  0.3; 	 0.00; 	"";
 32; 	 149.0382; 	   2565; 	  0.8; 	 0.00; 	"";
 33; 	 150.0286; 	  84854; 	 26.2; 	 0.00; 	"26.20";
 34; 	 151.0319; 	   5647; 	  1.7; 	 0.00; 	"";
 35; 	 152.0595; 	    516; 	  0.2; 	 0.00; 	"";
 36; 	 154.0624; 	    225; 	  0.1; 	 0.00; 	"";
 37; 	 155.0477; 	    112; 	  0.0; 	 0.00; 	"";
 38; 	 157.0228; 	    101; 	  0.0; 	 0.00; 	"";
 39; 	 158.9664; 	    117; 	  0.0; 	 0.00; 	"";
 40; 	 163.0772; 	    147; 	  0.0; 	 0.00; 	"";
 41; 	 206.4561; 	    171; 	  0.1; 	 0.00; 	"";
 42; 	 250.3827; 	    160; 	  0.0; 	 0.00; 	"";
 43; 	 284.7055; 	    106; 	  0.0; 	 0.00; 	"";
 44; 	 313.0346; 	    259; 	  0.1; 	 0.00; 	"";
 45; 	 367.3296; 	    259; 	  0.1; 	 0.00; 	"";
 46; 	 397.7398; 	    128; 	  0.0; 	 0.00; 	"";
 47; 	 423.0944; 	    370; 	  0.1; 	 0.00; 	"";
 48; 	 486.0623; 	    261; 	  0.1; 	 0.00; 	"";
 49; 	 499.0800; 	    274; 	  0.1; 	 0.00; 	"";
 50; 	  24.3886; 	    269; 	  0.1; 	 0.01; 	"";
 51; 	  31.5110; 	    188; 	  0.1; 	 0.01; 	"";
 52; 	  33.3119; 	    274; 	  0.1; 	 0.01; 	"";
 53; 	  36.1455; 	    184; 	  0.1; 	 0.01; 	"";
 54; 	  39.0245; 	    778; 	  0.3; 	 0.01; 	"";
 55; 	  50.3651; 	    248; 	  0.1; 	 0.01; 	"";
 56; 	  51.0240; 	    444; 	  0.1; 	 0.01; 	"";
 57; 	  52.0195; 	    337; 	  0.1; 	 0.01; 	"";
 58; 	  63.0250; 	    459; 	  0.2; 	 0.01; 	"";
 59; 	  64.0306; 	   1990; 	  0.7; 	 0.01; 	"";
 60; 	  65.0401; 	    235; 	  0.1; 	 0.01; 	"";
 61; 	  67.0178; 	    131; 	  0.0; 	 0.01; 	"";
 62; 	  74.0127; 	    559; 	  0.2; 	 0.01; 	"";
 63; 	  75.0212; 	  17158; 	  5.7; 	 0.01; 	"";
 64; 	  76.0274; 	   1349; 	  0.4; 	 0.01; 	"";
 65; 	  77.0238; 	    139; 	  0.0; 	 0.01; 	"";
 66; 	  91.0926; 	    284; 	  0.1; 	 0.01; 	"";
 67; 	  92.0226; 	  17676; 	  5.9; 	 0.01; 	"";
 68; 	  93.0330; 	   1364; 	  0.5; 	 0.01; 	"";
 69; 	  99.2614; 	    141; 	  0.0; 	 0.01; 	"";
 70; 	 111.0460; 	    127; 	  0.0; 	 0.01; 	"";
 71; 	 117.0559; 	    102; 	  0.0; 	 0.01; 	"";
 72; 	 120.0469; 	    147; 	  0.0; 	 0.01; 	"";
 73; 	 121.0254; 	   4490; 	  1.5; 	 0.01; 	"";
 74; 	 122.0225; 	 301574; 	100.0; 	 0.01; 	"100.00";
 75; 	 122.1450; 	    485; 	  0.2; 	 0.01; 	"";
 76; 	 123.0272; 	  21981; 	  7.3; 	 0.01; 	"";
 77; 	 124.0252; 	   1405; 	  0.5; 	 0.01; 	"";
 78; 	 140.0330; 	   1209; 	  0.4; 	 0.01; 	"";
 79; 	 148.0392; 	    256; 	  0.1; 	 0.01; 	"";
 80; 	 149.0345; 	   1833; 	  0.6; 	 0.01; 	"";
 81; 	 150.0314; 	  78342; 	 26.0; 	 0.01; 	"26.00";
 82; 	 151.0362; 	   5406; 	  1.8; 	 0.01; 	"";
 83; 	 152.0674; 	    504; 	  0.2; 	 0.01; 	"";
 84; 	 153.0618; 	    133; 	  0.0; 	 0.01; 	"";
 85; 	 158.1006; 	    142; 	  0.0; 	 0.01; 	"";
 86; 	 158.9550; 	    114; 	  0.0; 	 0.01; 	"";
 87; 	 163.0872; 	    358; 	  0.1; 	 0.01; 	"";
 88; 	 166.0457; 	    163; 	  0.1; 	 0.01; 	"";
 89; 	 177.4995; 	    139; 	  0.0; 	 0.01; 	"";
 90; 	 181.3970; 	    107; 	  0.0; 	 0.01; 	"";
 91; 	 212.8305; 	    146; 	  0.0; 	 0.01; 	"";
 92; 	 276.8972; 	    136; 	  0.0; 	 0.01; 	"";
 93; 	 345.3413; 	    104; 	  0.0; 	 0.01; 	"";
 94; 	 440.2371; 	    196; 	  0.1; 	 0.01; 	"";
 95; 	 449.2642; 	    261; 	  0.1; 	 0.01; 	"";
 96; 	 459.9034; 	    261; 	  0.1; 	 0.01; 	"";
 97; 	 503.4817; 	    257; 	  0.1; 	 0.01; 	"";
 98; 	 514.2355; 	    285; 	  0.1; 	 0.01; 	"";
 99; 	 667.9985; 	    115; 	  0.0; 	 0.01; 	"";
100; 	  28.4741; 	    115; 	  0.0; 	 0.10; 	"";
101; 	  33.8944; 	    258; 	  0.1; 	 0.10; 	"";
102; 	  39.0214; 	   1600; 	  0.5; 	 0.10; 	"";
103; 	  44.0088; 	    101; 	  0.0; 	 0.10; 	"";
104; 	  49.3440; 	    259; 	  0.1; 	 0.10; 	"";
105; 	  51.0251; 	    357; 	  0.1; 	 0.10; 	"";
106; 	  52.0212; 	    100; 	  0.0; 	 0.10; 	"";
107; 	  53.0039; 	    110; 	  0.0; 	 0.10; 	"";
108; 	  63.0253; 	    733; 	  0.2; 	 0.10; 	"";
109; 	  64.0316; 	   1749; 	  0.5; 	 0.10; 	"";
110; 	  65.0400; 	    319; 	  0.1; 	 0.10; 	"";
111; 	  72.7543; 	    265; 	  0.1; 	 0.10; 	"";
112; 	  74.0138; 	    615; 	  0.2; 	 0.10; 	"";
113; 	  75.0229; 	  20682; 	  5.8; 	 0.10; 	"";
114; 	  76.0250; 	    921; 	  0.3; 	 0.10; 	"";
115; 	  77.0335; 	    114; 	  0.0; 	 0.10; 	"";
116; 	  85.8964; 	    257; 	  0.1; 	 0.10; 	"";
117; 	  92.0272; 	  21026; 	  5.9; 	 0.10; 	"";
118; 	  93.0335; 	   2161; 	  0.6; 	 0.10; 	"";
119; 	  94.0410; 	    155; 	  0.0; 	 0.10; 	"";
120; 	 106.0463; 	    128; 	  0.0; 	 0.10; 	"";
121; 	 111.0402; 	    137; 	  0.0; 	 0.10; 	"";
122; 	 121.0239; 	   6100; 	  1.7; 	 0.10; 	"";
