 0; 	  20.2355; 	    259; 	  0.0; 	"";
 1; 	  29.2574; 	    138; 	  0.0; 	"";
 2; 	  33.5253; 	    257; 	  0.0; 	"";
 3; 	  39.0227; 	   2821; 	  0.5; 	"";
 4; 	  44.9962; 	    115; 	  0.0; 	"";
 5; 	  50.8980; 	    138; 	  0.0; 	"";
 6; 	  51.0238; 	   2494; 	  0.5; 	"";
 7; 	  52.0196; 	    922; 	  0.2; 	"";
 8; 	  53.0031; 	    144; 	  0.0; 	"";
 9; 	  53.9944; 	    453; 	  0.1; 	"";
10; 	  63.0243; 	    827; 	  0.2; 	"";
11; 	  64.0324; 	   4682; 	  0.9; 	"";
12; 	  65.0399; 	    809; 	  0.2; 	"";
13; 	  66.0363; 	    240; 	  0.0; 	"";
14; 	  67.0197; 	    346; 	  0.1; 	"";
15; 	  74.0705; 	   1068; 	  0.2; 	"";
16; 	  75.0236; 	  37553; 	  7.0; 	"";
17; 	  75.0993; 	   1013; 	  0.2; 	"";
18; 	  76.0270; 	   2789; 	  0.5; 	"";
19; 	  76.1139; 	    107; 	  0.0; 	"";
20; 	  77.0274; 	    918; 	  0.2; 	"";
21; 	  77.9688; 	    147; 	  0.0; 	"";
22; 	  78.2986; 	    122; 	  0.0; 	"";
23; 	  90.2697; 	    266; 	  0.0; 	"";
24; 	  92.0252; 	  38737; 	  7.2; 	"";
25; 	  92.1206; 	    744; 	  0.1; 	"";
26; 	  93.0336; 	   4584; 	  0.9; 	"";
27; 	  94.0414; 	    745; 	  0.1; 	"";
28; 	 104.3613; 	    261; 	  0.0; 	"";
29; 	 121.0279; 	   6635; 	  1.2; 	"";
30; 	 122.0237; 	 537573; 	100.0; 	"122.02";
31; 	 122.1524; 	    383; 	  0.1; 	"";
32; 	 123.0276; 	  44283; 	  8.2; 	"";
33; 	 124.0262; 	   2881; 	  0.5; 	"";
34; 	 140.0378; 	   1724; 	  0.3; 	"";
35; 	 141.0418; 	    100; 	  0.0; 	"";
36; 	 144.1970; 	    393; 	  0.1; 	"";
37; 	 149.0208; 	   1767; 	  0.3; 	"";
38; 	 150.0281; 	  79135; 	 14.7; 	"150.03";
39; 	 151.0298; 	   6000; 	  1.1; 	"";
40; 	 152.0608; 	    793; 	  0.1; 	"";
41; 	 153.0683; 	    119; 	  0.0; 	"";
42; 	 154.0657; 	    217; 	  0.0; 	"";
43; 	 155.0402; 	    163; 	  0.0; 	"";
44; 	 155.9755; 	    210; 	  0.0; 	"";
45; 	 157.0280; 	    238; 	  0.0; 	"";
46; 	 159.1152; 	    189; 	  0.0; 	"";
47; 	 199.7537; 	    105; 	  0.0; 	"";
48; 	 210.3250; 	    257; 	  0.0; 	"";
49; 	 297.1785; 	    138; 	  0.0; 	"";
50; 	 310.0167; 	    268; 	  0.0; 	"";
51; 	 337.1494; 	    114; 	  0.0; 	"";
52; 	 357.9264; 	    261; 	  0.0; 	"";
53; 	 395.9362; 	    104; 	  0.0; 	"";
54; 	 405.5863; 	    258; 	  0.0; 	"";
55; 	 454.4306; 	    274; 	  0.1; 	"";
