 0; 	  29.0753; 	    260; 	  0.7; 	"";
 1; 	  31.5986; 	    256; 	  0.6; 	"";
 2; 	  47.3274; 	    282; 	  0.7; 	"";
 3; 	  56.1310; 	    269; 	  0.7; 	"";
 4; 	  74.0962; 	   2508; 	  6.3; 	"";
 5; 	  75.0209; 	    486; 	  1.2; 	"";
 6; 	  76.0269; 	    123; 	  0.3; 	"";
 7; 	  88.3471; 	    110; 	  0.3; 	"";
 8; 	  92.0265; 	    377; 	  0.9; 	"";
 9; 	 111.0870; 	    114; 	  0.3; 	"";
10; 	 122.0238; 	  19289; 	 48.4; 	"122.02";
11; 	 123.0245; 	   1100; 	  2.8; 	"";
12; 	 141.8194; 	    257; 	  0.6; 	"";
13; 	 149.0334; 	    512; 	  1.3; 	"";
14; 	 150.0280; 	  39837; 	100.0; 	"150.03";
15; 	 151.0317; 	   1964; 	  4.9; 	"";
16; 	 214.7993; 	    121; 	  0.3; 	"";
17; 	 234.3530; 	    361; 	  0.9; 	"";
18; 	 241.0921; 	    102; 	  0.3; 	"";
19; 	 411.2610; 	    140; 	  0.4; 	"";
20; 	 437.2477; 	    109; 	  0.3; 	"";
21; 	 442.0924; 	    217; 	  0.5; 	"";
22; 	 445.2595; 	    106; 	  0.3; 	"";
23; 	 447.2843; 	    119; 	  0.3; 	"";
24; 	 448.0157; 	    397; 	  1.0; 	"";
25; 	 449.0126; 	  19366; 	 48.6; 	"449.01";
26; 	 450.0061; 	   3244; 	  8.1; 	"";
27; 	 451.0357; 	   1046; 	  2.6; 	"";
28; 	 452.0090; 	    101; 	  0.3; 	"";
29; 	 453.2277; 	    136; 	  0.3; 	"";
30; 	 454.1755; 	    254; 	  0.6; 	"";
31; 	 456.9781; 	    117; 	  0.3; 	"";
32; 	 459.0908; 	    101; 	  0.3; 	"";
33; 	 460.2736; 	   7024; 	 17.6; 	"460.27";
34; 	 461.0534; 	   2501; 	  6.3; 	"";
35; 	 462.0828; 	   6341; 	 15.9; 	"462.08";
36; 	 463.0925; 	   1106; 	  2.8; 	"";
37; 	 464.3347; 	    100; 	  0.3; 	"";
38; 	 589.8703; 	    259; 	  0.7; 	"";
