 0; 	  64.0307; 	    114; 	  0.5; 	"";
 1; 	  77.0362; 	    443; 	  2.1; 	"";
 2; 	  78.0491; 	    125; 	  0.6; 	"";
 3; 	  87.7073; 	    102; 	  0.5; 	"";
 4; 	  92.0744; 	    107; 	  0.5; 	"";
 5; 	 107.0495; 	   7599; 	 36.5; 	"107.05";
 6; 	 108.0542; 	    375; 	  1.8; 	"";
 7; 	 135.0570; 	  20818; 	100.0; 	"135.06";
 8; 	 136.0578; 	   1528; 	  7.3; 	"";
 9; 	 154.2847; 	    268; 	  1.3; 	"";
10; 	 387.0025; 	    265; 	  1.3; 	"";
11; 	 417.1569; 	   1980; 	  9.5; 	"";
12; 	 419.0554; 	  13405; 	 64.4; 	"419.06";
13; 	 420.0600; 	   2307; 	 11.1; 	"420.06";
14; 	 421.0564; 	    427; 	  2.1; 	"";
15; 	 428.1124; 	    128; 	  0.6; 	"";
16; 	 529.2928; 	    141; 	  0.7; 	"";
17; 	 568.1608; 	    261; 	  1.3; 	"";
