 0; 	  77.0409; 	   1768; 	  7.0; 	"";
 1; 	  77.1265; 	    110; 	  0.4; 	"";
 2; 	  78.0400; 	    135; 	  0.5; 	"";
 3; 	  79.0530; 	    122; 	  0.5; 	"";
 4; 	  92.0283; 	    313; 	  1.2; 	"";
 5; 	  92.1452; 	    133; 	  0.5; 	"";
 6; 	 107.1457; 	  25196; 	100.0; 	"107.15";
 7; 	 108.0516; 	    994; 	  3.9; 	"";
 8; 	 109.1904; 	    201; 	  0.8; 	"";
 9; 	 119.2665; 	    265; 	  1.1; 	"";
10; 	 135.1601; 	  15133; 	 60.1; 	"135.16";
11; 	 136.0617; 	    646; 	  2.6; 	"";
12; 	 317.9926; 	    284; 	  1.1; 	"";
13; 	 344.6298; 	    385; 	  1.5; 	"";
14; 	 416.9070; 	   2394; 	  9.5; 	"";
15; 	 418.1675; 	    214; 	  0.9; 	"";
16; 	 467.9061; 	    259; 	  1.0; 	"";
17; 	 624.1711; 	    261; 	  1.0; 	"";
18; 	 663.1516; 	    282; 	  1.1; 	"";
19; 	 690.5806; 	    256; 	  1.0; 	"";
