  0; 	  21.4350; 	    228; 	 82.1; 	 0.00; 	"82.10";
  1; 	 100.3692; 	    110; 	 39.5; 	 0.00; 	"39.50";
  2; 	 147.0961; 	    119; 	 42.6; 	 0.00; 	"42.60";
  3; 	 263.4012; 	    123; 	 44.2; 	 0.00; 	"44.20";
  4; 	 356.9104; 	    277; 	 99.6; 	 0.00; 	"99.60";
  5; 	 405.2702; 	    256; 	 92.0; 	 0.00; 	"92.00";
  6; 	 418.1724; 	    278; 	100.0; 	 0.00; 	"100.00";
  7; 	 590.4653; 	    146; 	 52.4; 	 0.00; 	"52.40";
  8; 	  32.6196; 	    284; 	100.0; 	 0.01; 	"100.00";
  9; 	  32.6659; 	    226; 	 79.7; 	 0.01; 	"79.70";
 10; 	  35.0605; 	    177; 	 62.4; 	 0.01; 	"62.40";
 11; 	  40.5104; 	    119; 	 41.9; 	 0.01; 	"41.90";
 12; 	 124.4660; 	    251; 	 88.4; 	 0.01; 	"88.40";
 13; 	 152.5959; 	    258; 	 90.9; 	 0.01; 	"90.90";
 14; 	 167.5627; 	    251; 	 88.2; 	 0.01; 	"88.20";
 15; 	 179.8177; 	    174; 	 61.2; 	 0.01; 	"61.20";
 16; 	 185.2161; 	    257; 	 90.5; 	 0.01; 	"90.50";
 17; 	 257.7013; 	    116; 	 40.9; 	 0.01; 	"40.90";
 18; 	 583.4323; 	    258; 	 90.8; 	 0.01; 	"90.80";
 19; 	  51.1867; 	    133; 	 49.5; 	 0.10; 	"49.50";
 20; 	 156.9509; 	    118; 	 43.9; 	 0.10; 	"43.90";
 21; 	 263.1077; 	    259; 	 96.5; 	 0.10; 	"96.50";
 22; 	 362.5311; 	    101; 	 37.7; 	 0.10; 	"37.70";
 23; 	 450.9443; 	    119; 	 44.5; 	 0.10; 	"44.50";
 24; 	 509.5937; 	    269; 	100.0; 	 0.10; 	"100.00";
 25; 	  22.9941; 	    261; 	 92.2; 	 1.00; 	"92.20";
 26; 	  25.7237; 	    239; 	 84.4; 	 1.00; 	"84.40";
 27; 	  47.8339; 	    149; 	 52.7; 	 1.00; 	"52.70";
 28; 	  72.0155; 	    258; 	 90.9; 	 1.00; 	"90.90";
 29; 	 103.2886; 	    278; 	 97.9; 	 1.00; 	"97.90";
 30; 	 117.5236; 	    269; 	 94.7; 	 1.00; 	"94.70";
 31; 	 177.9011; 	    284; 	100.0; 	 1.00; 	"100.00";
 32; 	 269.1444; 	    140; 	 49.3; 	 1.00; 	"49.30";
 33; 	 281.7768; 	    118; 	 41.5; 	 1.00; 	"41.50";
 34; 	 294.0260; 	    261; 	 91.9; 	 1.00; 	"91.90";
 35; 	 388.8702; 	    114; 	 40.4; 	 1.00; 	"40.40";
 36; 	 526.1380; 	    263; 	 92.7; 	 1.00; 	"92.70";
 37; 	  34.3719; 	    270; 	 95.5; 	10.00; 	"95.50";
 38; 	  77.1013; 	    104; 	 36.8; 	10.00; 	"36.80";
 39; 	  95.0426; 	    140; 	 49.3; 	10.00; 	"49.30";
 40; 	 121.3646; 	    250; 	 88.4; 	10.00; 	"88.40";
 41; 	 212.4875; 	    127; 	 44.8; 	10.00; 	"44.80";
 42; 	 628.7620; 	    283; 	100.0; 	10.00; 	"100.00";
 43; 	  60.1705; 	    180; 	 63.6; 	20.00; 	"63.60";
 44; 	  61.1255; 	    264; 	 92.9; 	20.00; 	"92.90";
 45; 	  99.5600; 	    150; 	 52.9; 	20.00; 	"52.90";
 46; 	 141.1024; 	    105; 	 37.0; 	20.00; 	"37.00";
 47; 	 167.6837; 	    273; 	 96.2; 	20.00; 	"96.20";
 48; 	 563.6457; 	    230; 	 80.9; 	20.00; 	"80.90";
 49; 	 574.1389; 	    284; 	100.0; 	20.00; 	"100.00";
 50; 	  23.2609; 	    105; 	 42.3; 	40.00; 	"42.30";
 51; 	 201.0744; 	    247; 	100.0; 	40.00; 	"100.00";
 52; 	 216.9229; 	    190; 	 76.7; 	40.00; 	"76.70";
 53; 	 694.2221; 	    246; 	 99.3; 	40.00; 	"99.30";
