  0; 	  37.0069; 	    267; 	  1.2; 	 0.00; 	"";
  1; 	  77.0348; 	    466; 	  2.1; 	 0.00; 	"";
  2; 	  77.1231; 	    370; 	  1.7; 	 0.00; 	"";
  3; 	 107.0460; 	   8180; 	 37.7; 	 0.00; 	"37.70";
  4; 	 108.0522; 	    470; 	  2.2; 	 0.00; 	"";
  5; 	 134.2882; 	    285; 	  1.3; 	 0.00; 	"";
  6; 	 135.0519; 	  21697; 	100.0; 	 0.00; 	"100.00";
  7; 	 136.0569; 	   1468; 	  6.8; 	 0.00; 	"";
  8; 	 176.8019; 	    243; 	  1.1; 	 0.00; 	"";
  9; 	 249.3242; 	    272; 	  1.3; 	 0.00; 	"";
 10; 	 303.7287; 	    260; 	  1.2; 	 0.00; 	"";
 11; 	 413.4452; 	    131; 	  0.6; 	 0.00; 	"";
 12; 	 417.1559; 	   1779; 	  8.2; 	 0.00; 	"";
 13; 	 418.5443; 	    654; 	  3.0; 	 0.00; 	"";
 14; 	 419.0591; 	  13989; 	 64.5; 	 0.00; 	"64.50";
 15; 	 420.0671; 	   1655; 	  7.6; 	 0.00; 	"";
 16; 	 421.0579; 	    104; 	  0.5; 	 0.00; 	"";
 17; 	 422.0916; 	    101; 	  0.5; 	 0.00; 	"";
 18; 	 423.2392; 	    131; 	  0.6; 	 0.00; 	"";
 19; 	 433.0958; 	    102; 	  0.5; 	 0.00; 	"";
 20; 	 445.0723; 	    267; 	  1.2; 	 0.00; 	"";
 21; 	  64.0307; 	    114; 	  0.5; 	 0.01; 	"";
 22; 	  77.0362; 	    443; 	  2.1; 	 0.01; 	"";
 23; 	  78.0491; 	    125; 	  0.6; 	 0.01; 	"";
 24; 	  87.7073; 	    102; 	  0.5; 	 0.01; 	"";
 25; 	  92.0744; 	    107; 	  0.5; 	 0.01; 	"";
 26; 	 107.0495; 	   7599; 	 36.5; 	 0.01; 	"36.50";
 27; 	 108.0542; 	    375; 	  1.8; 	 0.01; 	"";
 28; 	 135.0570; 	  20818; 	100.0; 	 0.01; 	"100.00";
 29; 	 136.0578; 	   1528; 	  7.3; 	 0.01; 	"";
 30; 	 154.2847; 	    268; 	  1.3; 	 0.01; 	"";
 31; 	 387.0025; 	    265; 	  1.3; 	 0.01; 	"";
 32; 	 417.1569; 	   1980; 	  9.5; 	 0.01; 	"";
 33; 	 419.0554; 	  13405; 	 64.4; 	 0.01; 	"64.40";
 34; 	 420.0600; 	   2307; 	 11.1; 	 0.01; 	"11.10";
 35; 	 421.0564; 	    427; 	  2.1; 	 0.01; 	"";
 36; 	 428.1124; 	    128; 	  0.6; 	 0.01; 	"";
 37; 	 529.2928; 	    141; 	  0.7; 	 0.01; 	"";
 38; 	 568.1608; 	    261; 	  1.3; 	 0.01; 	"";
 39; 	  48.0896; 	    267; 	  1.3; 	 0.10; 	"";
 40; 	  74.0913; 	    100; 	  0.5; 	 0.10; 	"";
