 0; 	  33.6630; 	    263; 	 13.1; 	"33.66";
 1; 	  55.0378; 	    273; 	 13.5; 	"55.04";
 2; 	  70.2145; 	    268; 	 13.3; 	"70.21";
 3; 	  75.0194; 	    108; 	  5.4; 	"";
 4; 	  85.0498; 	    180; 	  8.9; 	"";
 5; 	 116.0559; 	    129; 	  6.4; 	"";
 6; 	 120.0382; 	    377; 	 18.7; 	"120.04";
 7; 	 122.0223; 	   1004; 	 49.8; 	"122.02";
 8; 	 125.8107; 	    144; 	  7.2; 	"";
 9; 	 148.0444; 	   2016; 	100.0; 	"148.04";
10; 	 157.0294; 	    239; 	 11.9; 	"157.03";
11; 	 224.5464; 	    262; 	 13.0; 	"224.55";
12; 	 233.6263; 	    220; 	 10.9; 	"233.63";
13; 	 416.8713; 	    225; 	 11.1; 	"416.87";
14; 	 429.8391; 	    129; 	  6.4; 	"";
15; 	 449.2418; 	    269; 	 13.4; 	"449.24";
16; 	 637.7025; 	    226; 	 11.2; 	"637.70";
