 0; 	  32.6563; 	    271; 	  0.9; 	"";
 1; 	  73.1662; 	    126; 	  0.4; 	"";
 2; 	  74.0143; 	    158; 	  0.5; 	"";
 3; 	  75.0254; 	    166; 	  0.5; 	"";
 4; 	  86.8345; 	    111; 	  0.4; 	"";
 5; 	  88.5882; 	    170; 	  0.6; 	"";
 6; 	  92.0241; 	    716; 	  2.4; 	"";
 7; 	 122.0226; 	  14080; 	 46.3; 	"122.02";
 8; 	 123.0307; 	    522; 	  1.7; 	"";
 9; 	 150.0296; 	  30433; 	100.0; 	"150.03";
10; 	 150.3423; 	    112; 	  0.4; 	"";
11; 	 151.0328; 	   2049; 	  6.7; 	"";
12; 	 177.5551; 	    101; 	  0.3; 	"";
13; 	 322.0494; 	    561; 	  1.8; 	"";
14; 	 415.0472; 	    108; 	  0.4; 	"";
15; 	 462.0932; 	    276; 	  0.9; 	"";
16; 	 471.0686; 	  10054; 	 33.0; 	"471.07";
17; 	 472.0770; 	   2218; 	  7.3; 	"";
18; 	 473.0713; 	    947; 	  3.1; 	"";
19; 	 491.5605; 	    261; 	  0.9; 	"";
20; 	 680.3274; 	    244; 	  0.8; 	"";
21; 	 689.1811; 	    102; 	  0.3; 	"";
