 0; 	  48.7013; 	    259; 	  0.8; 	"";
 1; 	  56.0457; 	    258; 	  0.8; 	"";
 2; 	  74.0963; 	    224; 	  0.7; 	"";
 3; 	  75.0246; 	    510; 	  1.5; 	"";
 4; 	  86.0116; 	    101; 	  0.3; 	"";
 5; 	  87.2973; 	    256; 	  0.8; 	"";
 6; 	  92.0261; 	    447; 	  1.3; 	"";
 7; 	  93.0235; 	    109; 	  0.3; 	"";
 8; 	 104.6700; 	    256; 	  0.8; 	"";
 9; 	 122.0245; 	  15479; 	 46.1; 	"122.02";
10; 	 123.0279; 	    768; 	  2.3; 	"";
11; 	 149.0347; 	    163; 	  0.5; 	"";
12; 	 150.0301; 	  33556; 	100.0; 	"150.03";
13; 	 151.0309; 	   2687; 	  8.0; 	"";
14; 	 152.0391; 	    219; 	  0.7; 	"";
15; 	 188.9982; 	    260; 	  0.8; 	"";
16; 	 224.1052; 	    238; 	  0.7; 	"";
17; 	 272.5810; 	    203; 	  0.6; 	"";
18; 	 283.8032; 	    257; 	  0.8; 	"";
19; 	 316.7872; 	    257; 	  0.8; 	"";
20; 	 322.0490; 	    519; 	  1.5; 	"";
21; 	 323.0490; 	    106; 	  0.3; 	"";
22; 	 365.1872; 	    113; 	  0.3; 	"";
23; 	 371.6559; 	    286; 	  0.9; 	"";
24; 	 425.0368; 	    266; 	  0.8; 	"";
25; 	 471.0726; 	  10794; 	 32.2; 	"471.07";
26; 	 472.0636; 	   2410; 	  7.2; 	"";
27; 	 473.2199; 	   1316; 	  3.9; 	"";
28; 	 474.0682; 	    116; 	  0.3; 	"";
29; 	 488.0180; 	    111; 	  0.3; 	"";
