 0; 	  51.0253; 	    425; 	 98.5; 	"51.03";
 1; 	  74.0134; 	    117; 	 27.0; 	"74.01";
 2; 	  75.0259; 	    432; 	100.0; 	"75.03";
 3; 	 116.0518; 	    121; 	 28.0; 	"116.05";
 4; 	 124.0790; 	    265; 	 61.4; 	"124.08";
 5; 	 182.4117; 	    115; 	 26.6; 	"182.41";
 6; 	 185.0116; 	    255; 	 59.1; 	"185.01";
 7; 	 211.8745; 	    261; 	 60.4; 	"211.87";
 8; 	 247.9620; 	    128; 	 29.7; 	"247.96";
 9; 	 375.5669; 	    210; 	 48.6; 	"375.57";
10; 	 470.7734; 	    256; 	 59.3; 	"470.77";
11; 	 540.2673; 	    265; 	 61.4; 	"540.27";
12; 	 608.9203; 	    259; 	 60.0; 	"608.92";
13; 	 633.1017; 	    266; 	 61.6; 	"633.10";
