  0; 	  22.0770; 	    256; 	 56.3; 	 0.00; 	"56.30";
  1; 	  41.1287; 	    257; 	 19.9; 	 0.00; 	"19.90";
  2; 	  43.0021; 	    268; 	 20.7; 	 0.00; 	"20.70";
  3; 	  44.3819; 	    141; 	 30.9; 	 0.00; 	"30.90";
  4; 	  47.2351; 	    267; 	 20.7; 	 0.00; 	"20.70";
  5; 	  75.0218; 	    106; 	  8.2; 	 0.00; 	"";
  6; 	  86.4739; 	    267; 	 58.7; 	 0.00; 	"58.70";
  7; 	  92.0481; 	    106; 	 23.4; 	 0.00; 	"23.40";
  8; 	 116.0449; 	    126; 	  9.8; 	 0.00; 	"";
  9; 	 122.0228; 	    695; 	 53.8; 	 0.00; 	"53.80";
 10; 	 122.0342; 	    275; 	 60.5; 	 0.00; 	"60.50";
 11; 	 131.6871; 	    268; 	 20.7; 	 0.00; 	"20.70";
 12; 	 142.5431; 	    117; 	 25.7; 	 0.00; 	"25.70";
 13; 	 148.0316; 	    455; 	100.0; 	 0.00; 	"100.00";
 14; 	 148.0363; 	   1292; 	100.0; 	 0.00; 	"100.00";
 15; 	 149.0212; 	    254; 	 19.6; 	 0.00; 	"19.60";
 16; 	 150.0300; 	    219; 	 16.9; 	 0.00; 	"16.90";
 17; 	 152.0532; 	    111; 	 24.5; 	 0.00; 	"24.50";
 18; 	 153.0686; 	    129; 	 28.3; 	 0.00; 	"28.30";
 19; 	 155.0461; 	    104; 	  8.1; 	 0.00; 	"";
 20; 	 156.0945; 	    118; 	  9.1; 	 0.00; 	"";
 21; 	 157.0244; 	    308; 	 23.9; 	 0.00; 	"23.90";
 22; 	 164.0266; 	    131; 	 10.2; 	 0.00; 	"10.20";
 23; 	 167.9271; 	    135; 	 10.4; 	 0.00; 	"10.40";
 24; 	 313.4402; 	    253; 	 19.6; 	 0.00; 	"19.60";
 25; 	 324.0600; 	    112; 	 24.6; 	 0.00; 	"24.60";
 26; 	 424.9600; 	    272; 	 59.8; 	 0.00; 	"59.80";
 27; 	 438.1633; 	    274; 	 21.2; 	 0.00; 	"21.20";
