  0; 	  32.6563; 	    271; 	  0.9; 	 0.00; 	"";
  1; 	  73.1662; 	    126; 	  0.4; 	 0.00; 	"";
  2; 	  74.0143; 	    158; 	  0.5; 	 0.00; 	"";
  3; 	  75.0254; 	    166; 	  0.5; 	 0.00; 	"";
  4; 	  86.8345; 	    111; 	  0.4; 	 0.00; 	"";
  5; 	  88.5882; 	    170; 	  0.6; 	 0.00; 	"";
  6; 	  92.0241; 	    716; 	  2.4; 	 0.00; 	"";
  7; 	 122.0226; 	  14080; 	 46.3; 	 0.00; 	"46.30";
  8; 	 123.0307; 	    522; 	  1.7; 	 0.00; 	"";
  9; 	 150.0296; 	  30433; 	100.0; 	 0.00; 	"100.00";
 10; 	 150.3423; 	    112; 	  0.4; 	 0.00; 	"";
 11; 	 151.0328; 	   2049; 	  6.7; 	 0.00; 	"";
 12; 	 177.5551; 	    101; 	  0.3; 	 0.00; 	"";
 13; 	 322.0494; 	    561; 	  1.8; 	 0.00; 	"";
 14; 	 415.0472; 	    108; 	  0.4; 	 0.00; 	"";
 15; 	 462.0932; 	    276; 	  0.9; 	 0.00; 	"";
 16; 	 471.0686; 	  10054; 	 33.0; 	 0.00; 	"33.00";
 17; 	 472.0770; 	   2218; 	  7.3; 	 0.00; 	"";
 18; 	 473.0713; 	    947; 	  3.1; 	 0.00; 	"";
 19; 	 491.5605; 	    261; 	  0.9; 	 0.00; 	"";
 20; 	 680.3274; 	    244; 	  0.8; 	 0.00; 	"";
 21; 	 689.1811; 	    102; 	  0.3; 	 0.00; 	"";
 22; 	  26.6463; 	    190; 	  0.6; 	 0.01; 	"";
 23; 	  28.5429; 	    121; 	  0.4; 	 0.01; 	"";
 24; 	  39.2500; 	    258; 	  0.9; 	 0.01; 	"";
 25; 	  74.0940; 	    149; 	  0.5; 	 0.01; 	"";
 26; 	  75.0442; 	    152; 	  0.5; 	 0.01; 	"";
 27; 	  92.0258; 	    317; 	  1.1; 	 0.01; 	"";
 28; 	 121.0329; 	    105; 	  0.4; 	 0.01; 	"";
 29; 	 122.0232; 	  14679; 	 49.3; 	 0.01; 	"49.30";
 30; 	 123.0323; 	    913; 	  3.1; 	 0.01; 	"";
 31; 	 150.0279; 	  29791; 	100.0; 	 0.01; 	"100.00";
 32; 	 151.0342; 	   1572; 	  5.3; 	 0.01; 	"";
 33; 	 241.3697; 	    266; 	  0.9; 	 0.01; 	"";
 34; 	 244.9069; 	    100; 	  0.3; 	 0.01; 	"";
 35; 	 321.8675; 	    115; 	  0.4; 	 0.01; 	"";
 36; 	 343.7606; 	    179; 	  0.6; 	 0.01; 	"";
 37; 	 347.6494; 	    152; 	  0.5; 	 0.01; 	"";
 38; 	 389.7697; 	    264; 	  0.9; 	 0.01; 	"";
 39; 	 471.0699; 	   9708; 	 32.6; 	 0.01; 	"32.60";
 40; 	 472.0776; 	   2231; 	  7.5; 	 0.01; 	"";
 41; 	 473.0327; 	    419; 	  1.4; 	 0.01; 	"";
 42; 	 478.9683; 	    150; 	  0.5; 	 0.01; 	"";
 43; 	 483.1294; 	    112; 	  0.4; 	 0.01; 	"";
 44; 	 533.5444; 	    271; 	  0.9; 	 0.01; 	"";
 45; 	  48.7013; 	    259; 	  0.8; 	 0.10; 	"";
 46; 	  56.0457; 	    258; 	  0.8; 	 0.10; 	"";
 47; 	  74.0963; 	    224; 	  0.7; 	 0.10; 	"";
 48; 	  75.0246; 	    510; 	  1.5; 	 0.10; 	"";
 49; 	  86.0116; 	    101; 	  0.3; 	 0.10; 	"";
 50; 	  87.2973; 	    256; 	  0.8; 	 0.10; 	"";
 51; 	  92.0261; 	    447; 	  1.3; 	 0.10; 	"";
 52; 	  93.0235; 	    109; 	  0.3; 	 0.10; 	"";
 53; 	 104.6700; 	    256; 	  0.8; 	 0.10; 	"";
 54; 	 122.0245; 	  15479; 	 46.1; 	 0.10; 	"46.10";
 55; 	 123.0279; 	    768; 	  2.3; 	 0.10; 	"";
 56; 	 149.0347; 	    163; 	  0.5; 	 0.10; 	"";
 57; 	 150.0301; 	  33556; 	100.0; 	 0.10; 	"100.00";
 58; 	 151.0309; 	   2687; 	  8.0; 	 0.10; 	"";
 59; 	 152.0391; 	    219; 	  0.7; 	 0.10; 	"";
 60; 	 188.9982; 	    260; 	  0.8; 	 0.10; 	"";
 61; 	 224.1052; 	    238; 	  0.7; 	 0.10; 	"";
 62; 	 272.5810; 	    203; 	  0.6; 	 0.10; 	"";
