 0; 	  28.3819; 	    150; 	 20.1; 	"28.38";
 1; 	  51.1168; 	    109; 	 14.6; 	"51.12";
 2; 	  83.9257; 	    279; 	 37.3; 	"83.93";
 3; 	  92.2100; 	    127; 	 17.0; 	"92.21";
 4; 	  95.5562; 	    240; 	 32.1; 	"95.56";
 5; 	 121.9966; 	    272; 	 36.4; 	"122.00";
 6; 	 137.0516; 	    262; 	 35.1; 	"137.05";
 7; 	 152.0598; 	    747; 	100.0; 	"152.06";
 8; 	 155.0462; 	    513; 	 68.7; 	"155.05";
 9; 	 218.8056; 	    193; 	 25.9; 	"218.81";
10; 	 230.1629; 	    263; 	 35.2; 	"230.16";
11; 	 470.6454; 	    164; 	 22.0; 	"470.65";
12; 	 546.0751; 	    257; 	 34.4; 	"546.08";
