 0; 	  59.1954; 	    267; 	 94.4; 	"59.20";
 1; 	  65.1100; 	    258; 	 91.2; 	"65.11";
 2; 	  75.0264; 	    204; 	 72.1; 	"75.03";
 3; 	  77.1286; 	    113; 	 39.8; 	"77.13";
 4; 	 102.1431; 	    138; 	 48.9; 	"102.14";
 5; 	 124.2398; 	    149; 	 52.6; 	"124.24";
 6; 	 126.1512; 	    107; 	 37.7; 	"126.15";
 7; 	 139.6661; 	    126; 	 44.6; 	"139.67";
 8; 	 151.0609; 	    249; 	 87.9; 	"151.06";
 9; 	 153.2842; 	    282; 	 99.6; 	"153.28";
10; 	 161.6066; 	    270; 	 95.4; 	"161.61";
11; 	 423.2760; 	    283; 	100.0; 	"423.28";
12; 	 629.7730; 	    262; 	 92.4; 	"629.77";
13; 	 677.9377; 	    135; 	 47.7; 	"677.94";
