 0; 	  52.3132; 	    274; 	  9.6; 	"";
 1; 	  55.1622; 	    149; 	  5.2; 	"";
 2; 	  64.0295; 	    359; 	 12.6; 	"64.03";
 3; 	  64.1169; 	    162; 	  5.7; 	"";
 4; 	  75.0218; 	   2840; 	100.0; 	"75.02";
 5; 	  75.1101; 	   1327; 	 46.7; 	"75.11";
 6; 	  92.0271; 	   2040; 	 71.8; 	"92.03";
 7; 	  92.1207; 	    247; 	  8.7; 	"";
 8; 	 109.1011; 	    109; 	  3.8; 	"";
 9; 	 112.0366; 	    173; 	  6.1; 	"";
10; 	 122.0233; 	   1398; 	 49.2; 	"122.02";
11; 	 187.6244; 	    163; 	  5.7; 	"";
12; 	 258.0229; 	    138; 	  4.9; 	"";
13; 	 328.1744; 	    108; 	  3.8; 	"";
14; 	 348.5176; 	    260; 	  9.1; 	"";
15; 	 565.2851; 	    116; 	  4.1; 	"";
