 0; 	  42.1414; 	    118; 	  4.4; 	"";
 1; 	  42.8918; 	    205; 	  7.6; 	"";
 2; 	 154.9990; 	   2701; 	100.0; 	"155.00";
 3; 	 156.9942; 	   2375; 	 87.9; 	"156.99";
 4; 	 178.1229; 	    106; 	  3.9; 	"";
 5; 	 179.0596; 	    303; 	 11.2; 	"179.06";
 6; 	 182.9956; 	   1410; 	 52.2; 	"183.00";
 7; 	 184.9926; 	   1559; 	 57.7; 	"184.99";
 8; 	 192.9659; 	    102; 	  3.8; 	"";
 9; 	 213.5414; 	    263; 	  9.7; 	"";
10; 	 263.2813; 	    145; 	  5.4; 	"";
11; 	 269.2811; 	    258; 	  9.6; 	"";
12; 	 323.0759; 	    122; 	  4.5; 	"";
13; 	 421.0755; 	    258; 	  9.6; 	"";
