 0; 	  28.1208; 	    286; 	 29.8; 	"28.12";
 1; 	  35.2734; 	    260; 	 27.1; 	"35.27";
 2; 	  58.7338; 	    172; 	 17.9; 	"58.73";
 3; 	 108.3582; 	    272; 	 28.3; 	"108.36";
 4; 	 155.0021; 	    370; 	 38.5; 	"155.00";
 5; 	 156.9656; 	    128; 	 13.3; 	"156.97";
 6; 	 182.9952; 	    871; 	 90.8; 	"183.00";
 7; 	 184.0066; 	    108; 	 11.3; 	"184.01";
 8; 	 184.9904; 	    960; 	100.0; 	"184.99";
 9; 	 207.8591; 	    135; 	 14.1; 	"207.86";
10; 	 269.1038; 	    267; 	 27.8; 	"269.10";
11; 	 451.8189; 	    259; 	 27.0; 	"451.82";
12; 	 474.2634; 	    165; 	 17.2; 	"474.26";
13; 	 509.4117; 	    266; 	 27.7; 	"509.41";
14; 	 514.7671; 	    395; 	 41.1; 	"514.77";
15; 	 516.7619; 	    131; 	 13.7; 	"516.76";
16; 	 518.7512; 	    193; 	 20.1; 	"518.75";
17; 	 597.4581; 	    267; 	 27.9; 	"597.46";
18; 	 601.0322; 	    265; 	 27.6; 	"601.03";
19; 	 642.0581; 	    140; 	 14.6; 	"642.06";
