 0; 	  46.1884; 	    106; 	  3.6; 	"";
 1; 	 121.9729; 	    258; 	  8.7; 	"";
 2; 	 154.9985; 	   2801; 	 94.7; 	"155.00";
 3; 	 155.9974; 	    506; 	 17.1; 	"156.00";
 4; 	 156.9945; 	   2959; 	100.0; 	"156.99";
 5; 	 179.0992; 	    440; 	 14.9; 	"179.10";
 6; 	 182.9960; 	   1236; 	 41.8; 	"183.00";
 7; 	 184.9930; 	    886; 	 30.0; 	"184.99";
 8; 	 192.9981; 	    114; 	  3.9; 	"";
 9; 	 361.9555; 	    126; 	  4.3; 	"";
10; 	 424.0451; 	    263; 	  8.9; 	"";
11; 	 438.1546; 	    151; 	  5.1; 	"";
12; 	 535.2823; 	    259; 	  8.8; 	"";
