  0; 	  21.3627; 	    255; 	 52.8; 	 0.00; 	"52.80";
  1; 	  22.5435; 	    241; 	 86.3; 	 0.00; 	"86.30";
  2; 	  23.7313; 	    115; 	 23.9; 	 0.00; 	"23.90";
  3; 	  53.7227; 	    214; 	 76.5; 	 0.00; 	"76.50";
  4; 	  55.7300; 	    191; 	 68.4; 	 0.00; 	"68.40";
  5; 	  64.3451; 	    192; 	 67.7; 	 0.00; 	"67.70";
  6; 	  81.4502; 	    262; 	 93.7; 	 0.00; 	"93.70";
  7; 	 148.9925; 	    284; 	100.0; 	 0.00; 	"100.00";
  8; 	 154.9393; 	    248; 	 51.3; 	 0.00; 	"51.30";
  9; 	 155.0128; 	    120; 	 42.8; 	 0.00; 	"42.80";
 10; 	 156.9304; 	    384; 	 79.6; 	 0.00; 	"79.60";
 11; 	 160.8734; 	    259; 	 93.1; 	 0.00; 	"93.10";
 12; 	 174.9619; 	    279; 	100.0; 	 0.00; 	"100.00";
 13; 	 182.9237; 	    483; 	100.0; 	 0.00; 	"100.00";
 14; 	 183.0181; 	    112; 	 40.0; 	 0.00; 	"40.00";
 15; 	 184.9490; 	    131; 	 46.2; 	 0.00; 	"46.20";
 16; 	 185.0073; 	    226; 	 80.8; 	 0.00; 	"80.80";
 17; 	 185.0121; 	    238; 	 85.4; 	 0.00; 	"85.40";
 18; 	 185.0138; 	    470; 	 97.4; 	 0.00; 	"97.40";
 19; 	 187.2780; 	    262; 	 92.3; 	 0.00; 	"92.30";
 20; 	 196.6226; 	    126; 	 45.2; 	 0.00; 	"45.20";
 21; 	 197.6797; 	    128; 	 46.0; 	 0.00; 	"46.00";
 22; 	 205.6609; 	    206; 	 74.0; 	 0.00; 	"74.00";
 23; 	 215.0755; 	    258; 	 92.5; 	 0.00; 	"92.50";
 24; 	 242.1201; 	    145; 	 51.1; 	 0.00; 	"51.10";
 25; 	 242.3210; 	    257; 	 92.3; 	 0.00; 	"92.30";
 26; 	 250.5717; 	    116; 	 41.0; 	 0.00; 	"41.00";
 27; 	 302.4923; 	    258; 	 92.4; 	 0.00; 	"92.40";
 28; 	 351.6571; 	    262; 	 54.3; 	 0.00; 	"54.30";
 29; 	 351.9717; 	    116; 	 41.6; 	 0.00; 	"41.60";
 30; 	 370.7966; 	    267; 	 95.7; 	 0.00; 	"95.70";
 31; 	 388.6221; 	    257; 	 92.3; 	 0.00; 	"92.30";
 32; 	 448.9112; 	    266; 	 93.5; 	 0.00; 	"93.50";
 33; 	 476.0389; 	    279; 	100.0; 	 0.00; 	"100.00";
 34; 	 509.2482; 	    114; 	 23.6; 	 0.00; 	"23.60";
 35; 	 516.5477; 	    110; 	 22.9; 	 0.00; 	"22.90";
 36; 	 516.5690; 	    105; 	 37.6; 	 0.00; 	"37.60";
 37; 	 516.7850; 	    128; 	 45.0; 	 0.00; 	"45.00";
 38; 	 518.5566; 	    156; 	 32.3; 	 0.00; 	"32.30";
 39; 	 530.6071; 	    115; 	 40.3; 	 0.00; 	"40.30";
 40; 	 560.8969; 	    257; 	 92.0; 	 0.00; 	"92.00";
 41; 	 566.0854; 	    258; 	 92.6; 	 0.00; 	"92.60";
 42; 	  28.1208; 	    286; 	 29.8; 	 0.01; 	"29.80";
 43; 	  35.2734; 	    260; 	 27.1; 	 0.01; 	"27.10";
 44; 	  58.7338; 	    172; 	 17.9; 	 0.01; 	"17.90";
 45; 	 108.3582; 	    272; 	 28.3; 	 0.01; 	"28.30";
 46; 	 155.0021; 	    370; 	 38.5; 	 0.01; 	"38.50";
 47; 	 156.9656; 	    128; 	 13.3; 	 0.01; 	"13.30";
 48; 	 182.9952; 	    871; 	 90.8; 	 0.01; 	"90.80";
 49; 	 184.0066; 	    108; 	 11.3; 	 0.01; 	"11.30";
 50; 	 184.9904; 	    960; 	100.0; 	 0.01; 	"100.00";
