 0; 	  29.9528; 	    261; 	  0.2; 	"";
 1; 	  36.4938; 	    124; 	  0.1; 	"";
 2; 	  39.0243; 	   4209; 	  3.3; 	"";
 3; 	  44.0128; 	    118; 	  0.1; 	"";
 4; 	  44.9975; 	    134; 	  0.1; 	"";
 5; 	  50.0156; 	    109; 	  0.1; 	"";
 6; 	  51.0242; 	  23955; 	 18.7; 	"51.02";
 7; 	  52.0240; 	    447; 	  0.3; 	"";
 8; 	  53.0030; 	   3733; 	  2.9; 	"";
 9; 	  56.6007; 	    247; 	  0.2; 	"";
10; 	  63.0244; 	    896; 	  0.7; 	"";
11; 	  64.0337; 	   1364; 	  1.1; 	"";
12; 	  65.0327; 	    109; 	  0.1; 	"";
13; 	  66.0310; 	   1317; 	  1.0; 	"";
14; 	  67.0200; 	    773; 	  0.6; 	"";
15; 	  76.0180; 	    123; 	  0.1; 	"";
16; 	  78.0330; 	  15410; 	 12.1; 	"78.03";
17; 	  79.0339; 	    699; 	  0.5; 	"";
18; 	  84.7152; 	    268; 	  0.2; 	"";
19; 	  92.0235; 	  28233; 	 22.1; 	"92.02";
20; 	  93.0287; 	   1866; 	  1.5; 	"";
21; 	  94.0295; 	  31226; 	 24.4; 	"94.03";
22; 	  95.0350; 	   1238; 	  1.0; 	"";
23; 	 121.5541; 	    188; 	  0.1; 	"";
24; 	 149.0236; 	    211; 	  0.2; 	"";
25; 	 150.0422; 	 127873; 	100.0; 	"150.04";
26; 	 151.0327; 	   9418; 	  7.4; 	"";
27; 	 152.0338; 	    585; 	  0.5; 	"";
28; 	 153.0489; 	    103; 	  0.1; 	"";
29; 	 155.0729; 	    165; 	  0.1; 	"";
30; 	 155.3564; 	    208; 	  0.2; 	"";
31; 	 158.0589; 	    273; 	  0.2; 	"";
32; 	 209.7535; 	    278; 	  0.2; 	"";
33; 	 211.0158; 	    130; 	  0.1; 	"";
34; 	 213.6040; 	    265; 	  0.2; 	"";
35; 	 225.3663; 	    260; 	  0.2; 	"";
36; 	 346.8253; 	    258; 	  0.2; 	"";
37; 	 387.7873; 	    115; 	  0.1; 	"";
38; 	 471.3656; 	    207; 	  0.2; 	"";
39; 	 483.0192; 	    282; 	  0.2; 	"";
