 0; 	  45.0015; 	    325; 	  0.2; 	"";
 1; 	  45.9961; 	   1976; 	  1.5; 	"";
 2; 	  61.9913; 	 111802; 	 83.2; 	"61.99";
 3; 	  62.9886; 	    624; 	  0.5; 	"";
 4; 	  63.9961; 	    564; 	  0.4; 	"";
 5; 	  86.0094; 	    700; 	  0.5; 	"";
 6; 	  87.0068; 	   2552; 	  1.9; 	"";
 7; 	  89.0254; 	    270; 	  0.2; 	"";
 8; 	  95.0172; 	    357; 	  0.3; 	"";
 9; 	 112.9856; 	   1226; 	  0.9; 	"";
10; 	 119.0381; 	    456; 	  0.3; 	"";
11; 	 123.0099; 	   1254; 	  0.9; 	"";
12; 	 124.9871; 	  80093; 	 59.6; 	"124.99";
13; 	 125.9881; 	    530; 	  0.4; 	"";
14; 	 126.9916; 	    847; 	  0.6; 	"";
15; 	 130.9953; 	   1503; 	  1.1; 	"";
16; 	 137.0155; 	   1423; 	  1.1; 	"";
17; 	 138.0231; 	   2498; 	  1.9; 	"";
18; 	 139.0236; 	    255; 	  0.2; 	"";
19; 	 146.9690; 	   1257; 	  0.9; 	"";
20; 	 148.9562; 	   1162; 	  0.9; 	"";
21; 	 151.0013; 	   2211; 	  1.6; 	"";
22; 	 152.0013; 	    359; 	  0.3; 	"";
23; 	 153.0095; 	   3836; 	  2.9; 	"";
24; 	 154.0167; 	    885; 	  0.7; 	"";
25; 	 162.0335; 	   1011; 	  0.8; 	"";
26; 	 166.0221; 	    295; 	  0.2; 	"";
27; 	 182.0238; 	   1337; 	  1.0; 	"";
28; 	 183.0074; 	   7199; 	  5.4; 	"";
29; 	 184.0123; 	    663; 	  0.5; 	"";
30; 	 201.0189; 	   4544; 	  3.4; 	"";
31; 	 202.0240; 	    444; 	  0.3; 	"";
32; 	 202.9704; 	    515; 	  0.4; 	"";
33; 	 206.0137; 	    252; 	  0.2; 	"";
34; 	 209.0267; 	    207; 	  0.2; 	"";
35; 	 209.9527; 	    738; 	  0.5; 	"";
36; 	 222.8821; 	    266; 	  0.2; 	"";
37; 	 225.9279; 	   1293; 	  1.0; 	"";
38; 	 227.9857; 	    259; 	  0.2; 	"";
