 0; 	  61.9893; 	 133200; 	100.0; 	"61.99";
 1; 	  62.9888; 	    684; 	  0.5; 	"";
 2; 	  63.9935; 	    836; 	  0.6; 	"";
 3; 	  86.0069; 	    567; 	  0.4; 	"";
 4; 	  87.0036; 	   2275; 	  1.7; 	"";
 5; 	 112.9856; 	    947; 	  0.7; 	"";
 6; 	 119.0357; 	    946; 	  0.7; 	"";
 7; 	 123.0103; 	    228; 	  0.2; 	"";
 8; 	 124.9842; 	  25447; 	 19.1; 	"124.98";
 9; 	 125.9854; 	    275; 	  0.2; 	"";
10; 	 126.9887; 	    378; 	  0.3; 	"";
11; 	 146.9669; 	   1220; 	  0.9; 	"";
12; 	 148.9522; 	   2281; 	  1.7; 	"";
13; 	 153.0068; 	   4215; 	  3.2; 	"";
14; 	 154.0117; 	    293; 	  0.2; 	"";
15; 	 162.9409; 	    343; 	  0.3; 	"";
16; 	 168.0302; 	   2212; 	  1.7; 	"";
17; 	 169.0309; 	    264; 	  0.2; 	"";
18; 	 183.0044; 	    742; 	  0.6; 	"";
19; 	 225.9281; 	    220; 	  0.2; 	"";
20; 	 259.0317; 	  29645; 	 22.3; 	"259.03";
21; 	 260.0349; 	   2532; 	  1.9; 	"";
22; 	 261.0343; 	    582; 	  0.4; 	"";
23; 	 322.0317; 	    482; 	  0.4; 	"";
24; 	 333.9738; 	    222; 	  0.2; 	"";
25; 	 339.2336; 	    407; 	  0.3; 	"";
26; 	 355.2252; 	    327; 	  0.2; 	"";
27; 	 392.2644; 	   2257; 	  1.7; 	"";
28; 	 393.2727; 	    520; 	  0.4; 	"";
29; 	 402.2288; 	    625; 	  0.5; 	"";
30; 	 403.2276; 	    234; 	  0.2; 	"";
31; 	 420.2967; 	   2789; 	  2.1; 	"";
32; 	 421.3012; 	    702; 	  0.5; 	"";
33; 	 425.0240; 	    308; 	  0.2; 	"";
34; 	 447.2144; 	   1039; 	  0.8; 	"";
35; 	 448.2183; 	    339; 	  0.3; 	"";
36; 	 456.0745; 	  34603; 	 26.0; 	"456.07";
37; 	 456.6776; 	   6261; 	  4.7; 	"";
38; 	 457.2161; 	    239; 	  0.2; 	"";
39; 	 458.0788; 	   1544; 	  1.2; 	"";
40; 	 459.0932; 	    202; 	  0.2; 	"";
41; 	 495.1947; 	    284; 	  0.2; 	"";
42; 	 630.4946; 	   1734; 	  1.3; 	"";
43; 	 631.4987; 	    628; 	  0.5; 	"";
44; 	 653.1184; 	   8257; 	  6.2; 	"";
45; 	 654.1200; 	   2198; 	  1.7; 	"";
46; 	 655.1240; 	    604; 	  0.5; 	"";
47; 	 658.5253; 	   4108; 	  3.1; 	"";
