 0; 	  61.9888; 	  52183; 	100.0; 	"61.99";
 1; 	  63.9924; 	    318; 	  0.6; 	"";
 2; 	  68.9966; 	    796; 	  1.5; 	"";
 3; 	  86.0088; 	    260; 	  0.5; 	"";
 4; 	  87.0017; 	    904; 	  1.7; 	"";
 5; 	 112.9856; 	   4556; 	  8.7; 	"";
 6; 	 115.0040; 	    590; 	  1.1; 	"";
 7; 	 124.9841; 	   1868; 	  3.6; 	"";
 8; 	 134.0235; 	    842; 	  1.6; 	"";
 9; 	 138.0184; 	    239; 	  0.5; 	"";
10; 	 146.0369; 	    677; 	  1.3; 	"";
11; 	 146.9661; 	   4834; 	  9.3; 	"";
12; 	 148.9528; 	   6535; 	 12.5; 	"148.95";
13; 	 150.9481; 	    219; 	  0.4; 	"";
14; 	 162.9404; 	    479; 	  0.9; 	"";
15; 	 166.9955; 	    604; 	  1.2; 	"";
16; 	 167.9947; 	    752; 	  1.4; 	"";
17; 	 170.0354; 	   1579; 	  3.0; 	"";
18; 	 183.0057; 	    501; 	  1.0; 	"";
19; 	 195.9116; 	    299; 	  0.6; 	"";
20; 	 202.9699; 	    279; 	  0.5; 	"";
21; 	 209.9507; 	   1071; 	  2.1; 	"";
22; 	 210.9504; 	    219; 	  0.4; 	"";
23; 	 211.9483; 	    208; 	  0.4; 	"";
24; 	 212.9886; 	    228; 	  0.4; 	"";
25; 	 214.0275; 	    215; 	  0.4; 	"";
26; 	 222.8715; 	    418; 	  0.8; 	"";
27; 	 224.8717; 	    543; 	  1.0; 	"";
28; 	 225.9267; 	   9893; 	 19.0; 	"225.93";
29; 	 226.8656; 	    462; 	  0.9; 	"";
30; 	 227.9268; 	    749; 	  1.4; 	"";
31; 	 229.9193; 	    903; 	  1.7; 	"";
32; 	 231.9450; 	    248; 	  0.5; 	"";
33; 	 233.0227; 	    445; 	  0.9; 	"";
34; 	 238.9361; 	    226; 	  0.4; 	"";
35; 	 241.9007; 	    725; 	  1.4; 	"";
36; 	 243.0423; 	    226; 	  0.4; 	"";
37; 	 245.9852; 	   2117; 	  4.1; 	"";
38; 	 249.8942; 	   2406; 	  4.6; 	"";
39; 	 251.8925; 	   1794; 	  3.4; 	"";
40; 	 252.8892; 	    205; 	  0.4; 	"";
41; 	 253.8884; 	   1296; 	  2.5; 	"";
42; 	 267.1207; 	   2238; 	  4.3; 	"";
