 0; 	 103.0554; 	   1046; 	  0.1; 	"";
 1; 	 105.0333; 	   1652; 	  0.2; 	"";
 2; 	 112.0952; 	   2721; 	  0.3; 	"";
 3; 	 115.0543; 	   2670; 	  0.3; 	"";
 4; 	 117.0695; 	   1279; 	  0.1; 	"";
 5; 	 127.0543; 	   5167; 	  0.5; 	"";
 6; 	 128.0620; 	  14568; 	  1.4; 	"";
 7; 	 129.0697; 	  35322; 	  3.5; 	"";
 8; 	 130.0726; 	   4255; 	  0.4; 	"";
 9; 	 143.0341; 	   1344; 	  0.1; 	"";
10; 	 151.0541; 	   1417; 	  0.1; 	"";
11; 	 152.0615; 	  12637; 	  1.2; 	"";
12; 	 153.0699; 	1023430; 	100.0; 	"153.07";
13; 	 154.0730; 	 129695; 	 12.7; 	"154.07";
14; 	 155.0758; 	   6960; 	  0.7; 	"";
15; 	 156.0580; 	   1091; 	  0.1; 	"";
16; 	 157.0645; 	  43052; 	  4.2; 	"";
17; 	 158.0681; 	   4678; 	  0.5; 	"";
18; 	 168.0565; 	   5412; 	  0.5; 	"";
19; 	 169.0646; 	   6110; 	  0.6; 	"";
20; 	 170.0657; 	   1347; 	  0.1; 	"";
21; 	 171.0799; 	   8772; 	  0.9; 	"";
22; 	 181.0759; 	 248187; 	 24.3; 	"181.08";
23; 	 182.0794; 	  30920; 	  3.0; 	"";
24; 	 183.0824; 	   2226; 	  0.2; 	"";
25; 	 185.0595; 	  34240; 	  3.3; 	"";
26; 	 186.0630; 	   5167; 	  0.5; 	"";
27; 	 194.0977; 	   1513; 	  0.1; 	"";
28; 	 198.0545; 	   1970; 	  0.2; 	"";
29; 	 226.0606; 	  30424; 	  3.0; 	"";
30; 	 227.0642; 	   4427; 	  0.4; 	"";
31; 	 511.1026; 	 178824; 	 17.5; 	"511.10";
32; 	 512.1051; 	  52942; 	  5.2; 	"";
33; 	 513.1027; 	  16123; 	  1.6; 	"";
34; 	 514.1039; 	   3509; 	  0.3; 	"";
35; 	 556.0882; 	  10966; 	  1.1; 	"";
36; 	 557.0887; 	   3634; 	  0.4; 	"";
37; 	 841.1286; 	  37769; 	  3.7; 	"";
38; 	 842.1316; 	  18111; 	  1.8; 	"";
39; 	 843.1320; 	   7729; 	  0.8; 	"";
40; 	 844.1300; 	   2205; 	  0.2; 	"";
41; 	 886.1133; 	   6423; 	  0.6; 	"";
42; 	 887.1136; 	   3163; 	  0.3; 	"";
43; 	 888.1161; 	   1284; 	  0.1; 	"";
44; 	 959.9630; 	   4022; 	  0.4; 	"";
45; 	1171.1562; 	  35624; 	  3.5; 	"";
46; 	1173.1574; 	  10413; 	  1.0; 	"";
47; 	1175.1602; 	   1059; 	  0.1; 	"";
48; 	1216.1370; 	   8560; 	  0.8; 	"";
49; 	1218.1431; 	   1866; 	  0.2; 	"";
50; 	1501.1817; 	  13527; 	  1.3; 	"";
51; 	1503.1890; 	   5457; 	  0.5; 	"";
52; 	1546.1738; 	   4406; 	  0.4; 	"";
53; 	1548.1703; 	   1270; 	  0.1; 	"";
54; 	1831.2035; 	   5404; 	  0.5; 	"";
55; 	1833.2042; 	   2891; 	  0.3; 	"";
56; 	2162.2363; 	   2405; 	  0.2; 	"";
