"Reaction "; dE; dG 298.15; dH 298.15; dS*298.15; 
"Ph-N2+-USinglet = Ph+-USinglet + N2-USinglet"; 146.51; 82.64; 129.36; 46.75; 
"Ph-N2+-USinglet = Ph+-UTriplet + N2-USinglet"; 226.20; 162.01; 211.22; 49.25; 
"2-NO2-Ph-N2+-USinglet = 2-NO2-Ph+-USinglet + N2-USinglet"; -61.41; -123.84; -73.30; 50.57; 
"2-NO2-Ph-N2+-USinglet = 2-NO2-Ph+-UTriplet + N2-USinglet"; 236.66; 167.96; 220.57; 52.65; 
"3-NO2-Ph-N2+-USinglet = 3-NO2-Ph+-USinglet + N2-USinglet"; 154.35; 91.30; 137.60; 46.33; 
"3-NO2-Ph-N2+-USinglet = 3-NO2-Ph+-UTriplet + N2-USinglet"; 235.16; 169.26; 219.51; 50.28; 
"4-NO2-Ph-N2+-USinglet = 4-NO2-Ph+-USinglet + N2-USinglet"; 158.28; 95.37; 141.38; 46.04; 
"4-NO2-Ph-N2+-USinglet = 4-NO2-Ph+-UTriplet + N2-USinglet"; 226.48; 159.35; 211.15; 51.83; 
"4-CH3O-Ph-N2+-USinglet = 4-CH3O-Ph+-USinglet + N2-USinglet"; 180.96; 115.55; 163.35; 47.83; 
"4-CH3O-Ph-N2+-USinglet = 4-CH3O-Ph+-UTriplet + N2-USinglet"; 165.01; 104.32; 152.68; 48.40; 
"2-HOOC-Ph-N2+-USinglet = 2-HOOC-Ph+-USinglet + N2-USinglet"; 166.04; 100.08; 149.45; 49.40; 
"2-HOOC-Ph-N2+-USinglet = 2-HOOC-Ph+-UTriplet + N2-USinglet"; 239.00; 171.23; 223.06; 51.86; 
"4-HOOC-Ph-N2+-USinglet = 4-HOOC-Ph+-USinglet + N2-USinglet"; 148.67; 84.83; 131.52; 46.72; 
"4-HOOC-Ph-N2+-USinglet = 4-HOOC-Ph+-UTriplet + N2-USinglet"; 219.71; 154.93; 204.73; 49.84; 
"4-Br-Ph-N2+-USinglet = 4-Br-Ph+-USinglet + N2-USinglet"; 165.99; 100.91; 148.44; 47.56; 
"4-Br-Ph-N2+-USinglet = 4-Br-Ph+-UTriplet + N2-USinglet"; 186.02; 125.25; 173.69; 48.47; 
"2-HOOC-4-Br-Ph-N2+-USinglet = 2-HOOC-4-Br-Ph+-USinglet + N2-USinglet"; 183.66; 116.23; 166.60; 50.40; 
"2-HOOC-4-Br-Ph-N2+-USinglet = 2-HOOC-4-Br-Ph+-UTriplet + N2-USinglet"; 201.87; 137.40; 189.09; 51.73; 
