0 0.9000  -340.3988 -893717.1710 1265.4617
1 0.9100  -340.4322 -893804.7762 1177.8564
2 0.9201  -340.4636 -893887.1401 1095.4926
3 0.9301  -340.4931 -893964.5749 1018.0578
4 0.9401  -340.5208 -894037.3854 945.2472
5 0.9501  -340.5469 -894105.7637 876.8690
6 0.9602  -340.5713 -894169.9931 812.6395
7 0.9702  -340.5943 -894230.2765 752.3561
8 0.9802  -340.6158 -894286.8342 695.7985
9 0.9902  -340.6360 -894339.8837 642.7489
10 1.0003  -340.6550 -894389.5962 593.0365
11 1.0103  -340.6727 -894436.1666 546.4661
12 1.0203  -340.6893 -894479.7596 502.8730
13 1.0303  -340.7048 -894520.5569 462.0757
14 1.0404  -340.7194 -894558.6836 423.9491
15 1.0504  -340.7329 -894594.2992 388.3334
16 1.0604  -340.7456 -894627.5451 355.0875
17 1.0704  -340.7574 -894658.5663 324.0664
18 1.0805  -340.7684 -894687.4523 295.1803
19 1.0905  -340.7786 -894714.3376 268.2950
20 1.1005  -340.7882 -894739.3358 243.2969
21 1.1105  -340.7970 -894762.5642 220.0684
22 1.1206  -340.8052 -894784.0933 198.5394
23 1.1306  -340.8128 -894804.0313 178.6013
24 1.1406  -340.8198 -894822.4701 160.1626
25 1.1506  -340.8263 -894839.4937 143.1389
26 1.1607  -340.8323 -894855.1950 127.4376
27 1.1707  -340.8378 -894869.6208 113.0118
28 1.1807  -340.8428 -894882.8588 99.7739
29 1.1907  -340.8474 -894894.9793 87.6533
30 1.2008  -340.8517 -894906.0472 76.5854
31 1.2108  -340.8555 -894916.1239 66.5087
32 1.2208  -340.8590 -894925.2678 57.3649
33 1.2308  -340.8621 -894933.5343 49.0984
34 1.2409  -340.8650 -894940.9761 41.6566
35 1.2509  -340.8675 -894947.6434 34.9892
36 1.2609  -340.8698 -894953.5839 29.0488
37 1.2709  -340.8718 -894958.8426 23.7900
38 1.2810  -340.8735 -894963.4628 19.1699
39 1.2910  -340.8751 -894967.4854 15.1473
40 1.3010  -340.8764 -894970.9492 11.6834
41 1.3110  -340.8775 -894973.8915 8.7411
42 1.3211  -340.8784 -894976.3475 6.2852
43 1.3311  -340.8792 -894978.3506 4.2820
44 1.3411  -340.8798 -894979.9328 2.6999
45 1.3511  -340.8803 -894981.1242 1.5085
46 1.3612  -340.8806 -894981.9533 0.6793
47 1.3712  -340.8808 -894982.4476 0.1851
48 1.3812  -340.8808 -894982.6327 0.0000
49 1.3912  -340.8808 -894982.5330 0.0997
50 1.4013  -340.8807 -894982.1718 0.4608
51 1.4113  -340.8804 -894981.5712 1.0615
52 1.4213  -340.8801 -894980.7520 1.8807
53 1.4313  -340.8797 -894979.7339 2.8987
54 1.4414  -340.8793 -894978.5358 4.0968
55 1.4514  -340.8788 -894977.1754 5.4573
56 1.4614  -340.8782 -894975.6693 6.9633
57 1.4714  -340.8776 -894974.0335 8.5992
58 1.4815  -340.8769 -894972.2827 10.3499
59 1.4915  -340.8762 -894970.4310 12.2017
60 1.5015  -340.8754 -894968.4913 14.1413
61 1.5115  -340.8747 -894966.4761 16.1565
62 1.5216  -340.8739 -894964.3967 18.2359
63 1.5316  -340.8731 -894962.2639 20.3688
64 1.5416  -340.8722 -894960.0876 22.5451
65 1.5516  -340.8714 -894957.8771 24.7556
66 1.5617  -340.8706 -894955.6411 26.9916
67 1.5717  -340.8697 -894953.3875 29.2452
68 1.5817  -340.8688 -894951.1237 31.5090
69 1.5917  -340.8680 -894948.8564 33.7762
70 1.6018  -340.8671 -894946.5919 36.0407
71 1.6118  -340.8662 -894944.3360 38.2967
72 1.6218  -340.8654 -894942.0934 40.5393
73 1.6318  -340.8645 -894939.8695 42.7632
74 1.6419  -340.8637 -894937.6678 44.9649
75 1.6519  -340.8629 -894935.4923 47.1404
76 1.6619  -340.8621 -894933.3462 49.2865
77 1.6719  -340.8613 -894931.2324 51.4003
78 1.6820  -340.8605 -894929.1534 53.4792
79 1.6920  -340.8597 -894927.1115 55.5212
80 1.7020  -340.8589 -894925.1084 57.5243
81 1.7120  -340.8582 -894923.1456 59.4871
82 1.7221  -340.8574 -894921.2244 61.4083
83 1.7321  -340.8567 -894919.3458 63.2868
84 1.7421  -340.8560 -894917.5107 65.1220
85 1.7521  -340.8553 -894915.7194 66.9132
86 1.7622  -340.8547 -894913.9725 68.6602
87 1.7722  -340.8540 -894912.2700 70.3626
88 1.7822  -340.8534 -894910.6120 72.0206
89 1.7922  -340.8528 -894908.9984 73.6342
90 1.8023  -340.8522 -894907.4289 75.2037
91 1.8123  -340.8516 -894905.9032 76.7295
92 1.8223  -340.8510 -894904.4206 78.2120
93 1.8323  -340.8505 -894902.9807 79.6519
94 1.8424  -340.8500 -894901.5828 81.0498
95 1.8524  -340.8494 -894900.2261 82.4065
96 1.8624  -340.8489 -894898.9098 83.7228
97 1.8724  -340.8485 -894897.6332 84.9995
98 1.8825  -340.8480 -894896.3952 86.2374
99 1.8925  -340.8475 -894895.1951 87.4376
100 1.9025  -340.8471 -894894.0318 88.6009
101 1.9125  -340.8467 -894892.9044 89.7282
102 1.9226  -340.8462 -894891.8120 90.8206
103 1.9326  -340.8458 -894890.7536 91.8791
104 1.9426  -340.8454 -894889.7282 92.9044
105 1.9526  -340.8451 -894888.7350 93.8977
106 1.9627  -340.8447 -894887.7728 94.8599
107 1.9727  -340.8443 -894886.8407 95.7919
108 1.9827  -340.8440 -894885.9379 96.6948
109 1.9927  -340.8437 -894885.0633 97.5694
110 2.0028  -340.8434 -894884.2159 98.4168
111 2.0128  -340.8430 -894883.3950 99.2377
112 2.0228  -340.8427 -894882.5995 100.0332
113 2.0328  -340.8424 -894881.8285 100.8041
114 2.0429  -340.8422 -894881.0813 101.5513
115 2.0529  -340.8419 -894880.3569 102.2757
116 2.0629  -340.8416 -894879.6545 102.9781
117 2.0729  -340.8414 -894878.9733 103.6594
118 2.0830  -340.8411 -894878.3124 104.3202
119 2.0930  -340.8409 -894877.6712 104.9615
120 2.1030  -340.8406 -894877.0487 105.5839
121 2.1130  -340.8404 -894876.4444 106.1883
122 2.1231  -340.8402 -894875.8575 106.7752
123 2.1331  -340.8399 -894875.2873 107.3454
124 2.1431  -340.8397 -894874.7330 107.8996
125 2.1531  -340.8395 -894874.1941 108.4385
126 2.1632  -340.8393 -894873.6701 108.9626
127 2.1732  -340.8391 -894873.1603 109.4724
128 2.1832  -340.8390 -894872.6639 109.9688
129 2.1932  -340.8388 -894872.1806 110.4520
130 2.2033  -340.8386 -894871.7098 110.9229
131 2.2133  -340.8384 -894871.2509 111.3817
132 2.2233  -340.8382 -894870.8034 111.8293
133 2.2333  -340.8381 -894870.3668 112.2659
134 2.2434  -340.8379 -894869.9406 112.6921
135 2.2534  -340.8378 -894869.5244 113.1083
136 2.2634  -340.8376 -894869.1176 113.5150
137 2.2734  -340.8374 -894868.7200 113.9126
138 2.2835  -340.8373 -894868.3311 114.3016
139 2.2935  -340.8372 -894867.9505 114.6822
140 2.3035  -340.8370 -894867.5777 115.0549
141 2.3135  -340.8369 -894867.2126 115.4201
142 2.3236  -340.8367 -894866.8547 115.7780
143 2.3336  -340.8366 -894866.5037 116.1289
144 2.3436  -340.8365 -894866.1594 116.4733
145 2.3536  -340.8363 -894865.8213 116.8113
146 2.3637  -340.8362 -894865.4949 117.1378
147 2.3737  -340.8361 -894865.1627 117.4700
148 2.3837  -340.8360 -894864.8339 117.7988
149 2.3937  -340.8358 -894864.5108 118.1218
150 2.4038  -340.8357 -894864.1940 118.4386
151 2.4138  -340.8356 -894863.8834 118.7493
152 2.4238  -340.8355 -894863.5784 119.0542
153 2.4338  -340.8354 -894863.2763 119.3564
154 2.4439  -340.8353 -894862.9800 119.6526
155 2.4539  -340.8352 -894862.6889 119.9438
156 2.4639  -340.8351 -894862.4543 120.1784
157 2.4739  -340.8350 -894862.1657 120.4669
158 2.4840  -340.8348 -894861.8762 120.7565
159 2.4940  -340.8347 -894861.5922 121.0404
160 2.5040  -340.8346 -894861.3142 121.3185
161 2.5140  -340.8345 -894861.0834 121.5492
162 2.5241  -340.8344 -894860.8099 121.8227
163 2.5341  -340.8343 -894860.5364 122.0963
164 2.5441  -340.8342 -894860.2689 122.3637
165 2.5541  -340.8341 -894860.0490 122.5837
166 2.5642  -340.8340 -894859.7868 122.8459
167 2.5742  -340.8339 -894859.5243 123.1083
168 2.5842  -340.8338 -894859.2677 123.3650
169 2.5942  -340.8338 -894859.0605 123.5722
170 2.6043  -340.8337 -894858.8088 123.8239
171 2.6143  -340.8336 -894858.5563 124.0764
172 2.6243  -340.8335 -894858.3094 124.3233
173 2.6343  -340.8334 -894858.1136 124.5191
174 2.6444  -340.8333 -894857.8713 124.7613
175 2.6544  -340.8332 -894857.6279 125.0048
176 2.6644  -340.8331 -894857.3900 125.2426
177 2.6744  -340.8331 -894857.2048 125.4279
178 2.6845  -340.8330 -894856.9713 125.6613
179 2.6945  -340.8329 -894856.7362 125.8964
180 2.7045  -340.8328 -894856.5471 126.0855
181 2.7145  -340.8327 -894856.3195 126.3131
182 2.7246  -340.8326 -894856.0904 126.5422
183 2.7346  -340.8326 -894855.9076 126.7251
184 2.7446  -340.8325 -894855.6858 126.9468
185 2.7546  -340.8324 -894855.4624 127.1702
186 2.7647  -340.8323 -894855.2863 127.3464
187 2.7747  -340.8322 -894855.0703 127.5624
188 2.7847  -340.8322 -894854.8525 127.7801
189 2.7947  -340.8321 -894854.6830 127.9497
190 2.8048  -340.8320 -894854.4728 128.1599
191 2.8148  -340.8319 -894854.2607 128.3720
192 2.8248  -340.8319 -894854.0974 128.5353
193 2.8348  -340.8318 -894853.8928 128.7398
194 2.8449  -340.8317 -894853.6863 128.9464
195 2.8549  -340.8317 -894853.5292 129.1034
196 2.8649  -340.8316 -894853.3303 129.3024
197 2.8749  -340.8315 -894853.1292 129.5034
198 2.8850  -340.8315 -894852.9783 129.6544
199 2.8950  -340.8314 -894852.7849 129.8478
200 2.9050  -340.8313 -894852.5892 130.0435
201 2.9150  -340.8312 -894852.4443 130.1884
202 2.9251  -340.8312 -894852.2562 130.3764
203 2.9351  -340.8311 -894852.0659 130.5668
204 2.9451  -340.8311 -894851.9268 130.7059
205 2.9551  -340.8310 -894851.7439 130.8887
206 2.9652  -340.8309 -894851.5587 131.0740
207 2.9752  -340.8309 -894851.4253 131.2073
208 2.9852  -340.8308 -894851.2475 131.3851
209 2.9952  -340.8307 -894851.0673 131.5653
210 3.0053  -340.8307 -894850.9395 131.6931
211 3.0153  -340.8306 -894850.7668 131.8658
212 3.0253  -340.8305 -894850.5915 132.0411
213 3.0353  -340.8305 -894850.4691 132.1636
214 3.0454  -340.8304 -894850.3013 132.3313
215 3.0554  -340.8304 -894850.1309 132.5018
216 3.0654  -340.8303 -894850.0139 132.6188
217 3.0754  -340.8303 -894849.8510 132.7817
218 3.0855  -340.8302 -894849.6854 132.9473
219 3.0955  -340.8302 -894849.5738 133.0589
220 3.1055  -340.8301 -894849.4158 133.2169
221 3.1155  -340.8300 -894849.2551 133.3776
222 3.1256  -340.8300 -894849.1487 133.4839
