0 0.9000  -1302.1473 -3418787.8255 1262.4835
1 0.9101  -1302.2011 -3418929.0350 1121.2740
2 0.9201  -1302.2314 -3419008.6074 1041.7017
3 0.9302  -1302.2598 -3419083.2226 967.0864
4 0.9402  -1302.2865 -3419153.1766 897.1325
5 0.9503  -1302.3115 -3419218.7653 831.5437
6 0.9603  -1302.3349 -3419280.1927 770.1164
7 0.9704  -1302.3568 -3419337.6911 712.6179
8 0.9804  -1302.3773 -3419391.4991 658.8099
9 0.9905  -1302.3964 -3419441.7881 608.5209
10 1.0005  -1302.4143 -3419488.7840 561.5250
11 1.0106  -1302.4310 -3419532.6377 517.6713
12 1.0206  -1302.4466 -3419573.5545 476.7545
13 1.0307  -1302.4611 -3419611.6639 438.6451
14 1.0407  -1302.4746 -3419647.1541 403.1549
15 1.0508  -1302.4872 -3419680.1366 370.1724
16 1.0608  -1302.4989 -3419710.7864 339.5226
17 1.0709  -1302.5097 -3419739.1986 311.1104
18 1.0809  -1302.5197 -3419765.5101 284.7990
19 1.0910  -1302.5290 -3419789.8766 260.4325
20 1.1010  -1302.5376 -3419812.3467 237.9623
21 1.1111  -1302.5454 -3419833.0789 217.2301
22 1.1211  -1302.5527 -3419852.1271 198.1819
23 1.1312  -1302.5594 -3419869.6291 180.6799
24 1.1412  -1302.5655 -3419885.6334 164.6756
25 1.1513  -1302.5710 -3419900.2662 150.0428
26 1.1613  -1302.5761 -3419913.5664 136.7426
27 1.1714  -1302.5807 -3419925.6261 124.6829
28 1.1814  -1302.5849 -3419936.5735 113.7355
29 1.1915  -1302.5886 -3419946.3870 103.9220
30 1.2015  -1302.5919 -3419955.1633 95.1457
31 1.2116  -1302.5949 -3419962.9734 87.3356
32 1.2216  -1302.5976 -3419969.9464 80.3626
33 1.2317  -1302.5999 -3419976.0132 74.2958
34 1.2417  -1302.6019 -3419981.2704 69.0386
35 1.2518  -1302.6036 -3419985.7801 64.5289
36 1.2618  -1302.6051 -3419989.5925 60.7165
37 1.2719  -1302.6063 -3419992.7541 57.5549
38 1.2819  -1302.6203 -3420029.5206 20.7884
39 1.2920  -1302.6219 -3420033.7298 16.5792
40 1.3020  -1302.6232 -3420037.3307 12.9783
41 1.3121  -1302.6244 -3420040.4086 9.9004
42 1.3221  -1302.6254 -3420042.9941 7.3149
43 1.3322  -1302.6262 -3420045.1773 5.1317
44 1.3422  -1302.6269 -3420046.9032 3.4058
45 1.3523  -1302.6274 -3420048.2369 2.0721
46 1.3623  -1302.6278 -3420049.2369 1.0721
47 1.3724  -1302.6280 -3420049.8875 0.4215
48 1.3824  -1302.6282 -3420050.2624 0.0466
49 1.3925  -1302.6282 -3420050.3090 0.0000
50 1.4025  -1302.6281 -3420050.1459 0.1631
51 1.4126  -1302.6280 -3420049.6972 0.6118
52 1.4226  -1302.6277 -3420049.0592 1.2498
53 1.4327  -1302.6274 -3420048.1972 2.1118
54 1.4427  -1302.6270 -3420047.1349 3.1741
55 1.4528  -1302.6265 -3420045.9810 4.3280
56 1.4628  -1302.6260 -3420044.6133 5.6957
57 1.4729  -1302.6256 -3420043.5979 6.7111
58 1.4829  -1302.6251 -3420042.0738 8.2352
59 1.4930  -1302.6244 -3420040.3984 9.9106
60 1.5030  -1302.6237 -3420038.6447 11.6643
61 1.5131  -1302.6230 -3420036.7911 13.5179
62 1.5231  -1302.6223 -3420034.8601 15.4489
63 1.5332  -1302.6216 -3420032.8959 17.4131
64 1.5432  -1302.6208 -3420030.9014 19.4076
65 1.5533  -1302.6200 -3420028.8343 21.4747
66 1.5633  -1302.6192 -3420026.7134 23.5956
67 1.5734  -1302.6184 -3420024.5920 25.7170
68 1.5834  -1302.6176 -3420022.4508 27.8582
69 1.5935  -1302.6168 -3420020.2867 30.0223
70 1.6035  -1302.6159 -3420018.0926 32.2164
71 1.6136  -1302.6151 -3420015.8854 34.4236
72 1.6236  -1302.6142 -3420013.6773 36.6317
73 1.6337  -1302.6134 -3420011.4745 38.8345
74 1.6437  -1302.6126 -3420009.3263 40.9827
75 1.6538  -1302.6118 -3420007.1736 43.1354
76 1.6638  -1302.6109 -3420005.0359 45.2732
