0 0.9000  -454.9436 -1194454.3882 1289.4054
1 0.9100  -454.9960 -1194592.1219 1151.6717
2 0.9201  -455.0272 -1194673.9265 1069.8671
3 0.9301  -455.0565 -1194750.8105 992.9831
4 0.9401  -455.0840 -1194823.0480 920.7456
5 0.9501  -455.1098 -1194890.8648 852.9288
6 0.9602  -455.1341 -1194954.5311 789.2625
7 0.9702  -455.1568 -1195014.2599 729.5337
8 0.9802  -455.1782 -1195070.2539 673.5398
9 0.9902  -455.1981 -1195122.7412 621.0524
10 1.0003  -455.2169 -1195171.8870 571.9066
11 1.0103  -455.2344 -1195217.8944 525.8992
12 1.0203  -455.2508 -1195260.9197 482.8739
13 1.0303  -455.2661 -1195301.1530 442.6406
14 1.0404  -455.2804 -1195338.7130 405.0806
15 1.0504  -455.2938 -1195373.7619 370.0317
16 1.0604  -455.3062 -1195406.4404 337.3533
17 1.0704  -455.3178 -1195436.8946 306.8990
18 1.0805  -455.3286 -1195465.2123 278.5813
19 1.0905  -455.3386 -1195491.5293 252.2643
20 1.1005  -455.3479 -1195515.9590 227.8346
21 1.1105  -455.3565 -1195538.6060 205.1877
22 1.1206  -455.3645 -1195559.5693 184.2243
23 1.1306  -455.3719 -1195578.9581 164.8356
24 1.1406  -455.3787 -1195596.8277 146.9659
25 1.1506  -455.3850 -1195613.2808 130.5128
26 1.1607  -455.3907 -1195628.4000 115.3936
27 1.1707  -455.3960 -1195642.2609 101.5328
28 1.1807  -455.4009 -1195654.9352 88.8584
29 1.1907  -455.4053 -1195666.4913 77.3023
30 1.2008  -455.4093 -1195676.9943 66.7993
31 1.2108  -455.4129 -1195686.5057 57.2879
32 1.2208  -455.4161 -1195695.0840 48.7096
33 1.2308  -455.4191 -1195702.7846 41.0090
34 1.2409  -455.4217 -1195709.6605 34.1331
35 1.2509  -455.4240 -1195715.7615 28.0321
36 1.2609  -455.4261 -1195721.1352 22.6584
37 1.2709  -455.4279 -1195725.8268 17.9668
38 1.2810  -455.4294 -1195729.8791 13.9145
39 1.2910  -455.4307 -1195733.3330 10.4606
40 1.3010  -455.4318 -1195736.2276 7.5661
41 1.3110  -455.4327 -1195738.5996 5.1941
42 1.3211  -455.4334 -1195740.4842 3.3094
43 1.3311  -455.4340 -1195741.9150 1.8786
44 1.3411  -455.4344 -1195742.9236 0.8700
45 1.3511  -455.4346 -1195743.5403 0.2534
46 1.3612  -455.4347 -1195743.7936 0.0000
47 1.3712  -455.4347 -1195743.7108 0.0829
48 1.3812  -455.4345 -1195743.3176 0.4760
49 1.3912  -455.4343 -1195742.6386 1.1550
50 1.4013  -455.4339 -1195741.6970 2.0966
51 1.4113  -455.4334 -1195740.5150 3.2786
52 1.4213  -455.4329 -1195739.1135 4.6801
53 1.4313  -455.4323 -1195737.5124 6.2812
54 1.4414  -455.4316 -1195735.7307 8.0629
55 1.4514  -455.4309 -1195733.7862 10.0074
56 1.4614  -455.4301 -1195731.6959 12.0977
57 1.4714  -455.4292 -1195729.4759 14.3177
58 1.4815  -455.4284 -1195727.1411 16.6525
59 1.4915  -455.4274 -1195724.7060 19.0876
60 1.5015  -455.4265 -1195722.1839 21.6097
61 1.5115  -455.4255 -1195719.5873 24.2063
62 1.5216  -455.4245 -1195716.9281 26.8655
63 1.5316  -455.4234 -1195714.2174 29.5762
64 1.5416  -455.4224 -1195711.4655 32.3281
65 1.5516  -455.4213 -1195708.6821 35.1115
66 1.5617  -455.4203 -1195705.8762 37.9174
67 1.5717  -455.4192 -1195703.0563 40.7373
68 1.5817  -455.4181 -1195700.2300 43.5636
69 1.5917  -455.4170 -1195697.4047 46.3889
70 1.6018  -455.4160 -1195694.5870 49.2066
71 1.6118  -455.4149 -1195691.7829 52.0108
72 1.6218  -455.4138 -1195688.9981 54.7956
73 1.6318  -455.4128 -1195686.2376 57.5560
74 1.6419  -455.4117 -1195683.5061 60.2875
75 1.6519  -455.4107 -1195680.8076 62.9860
76 1.6619  -455.4097 -1195678.1457 65.6479
77 1.6719  -455.4087 -1195675.5239 68.2697
78 1.6820  -455.4077 -1195672.9445 70.8491
79 1.6920  -455.4067 -1195670.4105 73.3831
80 1.7020  -455.4058 -1195667.9239 75.8697
81 1.7120  -455.4049 -1195665.4864 78.3072
82 1.7221  -455.4040 -1195663.0995 80.6941
83 1.7321  -455.4031 -1195660.7642 83.0294
84 1.7421  -455.4022 -1195658.4818 85.3118
85 1.7521  -455.4014 -1195656.2526 87.5410
86 1.7622  -455.4005 -1195654.0774 89.7162
87 1.7722  -455.3997 -1195651.9561 91.8375
88 1.7822  -455.3989 -1195649.8890 93.9046
89 1.7922  -455.3982 -1195647.8759 95.9177
90 1.8023  -455.3974 -1195645.9166 97.8770
91 1.8123  -455.3967 -1195644.0106 99.7830
92 1.8223  -455.3960 -1195642.1574 101.6363
93 1.8323  -455.3953 -1195640.3562 103.4374
94 1.8424  -455.3946 -1195638.6064 105.1872
95 1.8524  -455.3940 -1195636.9070 106.8866
96 1.8624  -455.3934 -1195635.2572 108.5364
97 1.8724  -455.3927 -1195633.6559 110.1377
98 1.8825  -455.3922 -1195632.1022 111.6914
99 1.8925  -455.3916 -1195630.5949 113.1987
100 1.9025  -455.3910 -1195629.1329 114.6608
101 1.9125  -455.3905 -1195627.7150 116.0786
102 1.9226  -455.3900 -1195626.3402 117.4534
103 1.9326  -455.3895 -1195625.0074 118.7862
104 1.9426  -455.3890 -1195623.7153 120.0783
105 1.9526  -455.3885 -1195622.4628 121.3308
106 1.9627  -455.3880 -1195621.2487 122.5449
107 1.9727  -455.3876 -1195620.0719 123.7217
108 1.9827  -455.3871 -1195618.9313 124.8623
109 1.9927  -455.3867 -1195617.8256 125.9680
110 2.0028  -455.3863 -1195616.7539 127.0398
111 2.0128  -455.3859 -1195615.7149 128.0787
112 2.0228  -455.3855 -1195614.7076 129.0860
113 2.0328  -455.3852 -1195613.7309 130.0627
114 2.0429  -455.3848 -1195612.7839 131.0097
115 2.0529  -455.3844 -1195611.8653 131.9283
116 2.0629  -455.3841 -1195610.9743 132.8193
117 2.0729  -455.3838 -1195610.1099 133.6837
118 2.0830  -455.3835 -1195609.2711 134.5226
119 2.0930  -455.3831 -1195608.4569 135.3367
120 2.1030  -455.3828 -1195607.6665 136.1271
121 2.1130  -455.3826 -1195606.8990 136.8946
122 2.1231  -455.3823 -1195606.1536 137.6400
123 2.1331  -455.3820 -1195605.4293 138.3643
124 2.1431  -455.3817 -1195604.7256 139.0680
125 2.1531  -455.3815 -1195604.0415 139.7522
126 2.1632  -455.3812 -1195603.3762 140.4174
127 2.1732  -455.3810 -1195602.7292 141.0644
128 2.1832  -455.3807 -1195602.0997 141.6939
129 2.1932  -455.3805 -1195601.4870 142.3066
130 2.2033  -455.3803 -1195600.8905 142.9031
131 2.2133  -455.3800 -1195600.3095 143.4841
132 2.2233  -455.3798 -1195599.7433 144.0503
133 2.2333  -455.3796 -1195599.1916 144.6020
134 2.2434  -455.3794 -1195598.6535 145.1401
135 2.2534  -455.3792 -1195598.1286 145.6650
136 2.2634  -455.3790 -1195597.6164 146.1773
137 2.2734  -455.3788 -1195597.1162 146.6774
138 2.2835  -455.3786 -1195596.6277 147.1659
139 2.2935  -455.3785 -1195596.1504 147.6432
140 2.3035  -455.3783 -1195595.6837 148.1099
141 2.3135  -455.3781 -1195595.2274 148.5662
142 2.3236  -455.3779 -1195594.7810 149.0126
143 2.3336  -455.3778 -1195594.3440 149.4496
144 2.3436  -455.3776 -1195593.9162 149.8774
145 2.3536  -455.3775 -1195593.4971 150.2965
146 2.3637  -455.3773 -1195593.0865 150.7071
147 2.3737  -455.3771 -1195592.6839 151.1097
148 2.3837  -455.3770 -1195592.2921 151.5015
149 2.3937  -455.3768 -1195591.9043 151.8893
150 2.4038  -455.3767 -1195591.5165 152.2771
151 2.4138  -455.3766 -1195591.1348 152.6588
152 2.4238  -455.3764 -1195590.7608 153.0328
153 2.4338  -455.3763 -1195590.3934 153.4002
154 2.4439  -455.3761 -1195590.0338 153.7598
155 2.4539  -455.3760 -1195589.6802 154.1134
156 2.4639  -455.3759 -1195589.3821 154.4116
157 2.4739  -455.3758 -1195589.0370 154.7566
158 2.4840  -455.3756 -1195588.6927 155.1009
159 2.4940  -455.3755 -1195588.3557 155.4379
160 2.5040  -455.3754 -1195588.0264 155.7672
161 2.5140  -455.3753 -1195587.7463 156.0473
162 2.5241  -455.3751 -1195587.4244 156.3692
163 2.5341  -455.3750 -1195587.1041 156.6895
164 2.5441  -455.3749 -1195586.7912 157.0024
165 2.5541  -455.3748 -1195586.5277 157.2660
166 2.5642  -455.3747 -1195586.2229 157.5707
167 2.5742  -455.3746 -1195585.9192 157.8744
168 2.5842  -455.3745 -1195585.6225 158.1711
169 2.5942  -455.3744 -1195585.3767 158.4169
170 2.6043  -455.3742 -1195585.0875 158.7061
171 2.6143  -455.3741 -1195584.7986 158.9950
172 2.6243  -455.3740 -1195584.5167 159.2770
173 2.6343  -455.3739 -1195584.2870 159.5066
174 2.6444  -455.3738 -1195584.0119 159.7817
175 2.6544  -455.3737 -1195583.7366 160.0570
176 2.6644  -455.3736 -1195583.4679 160.3257
177 2.6744  -455.3735 -1195583.2532 160.5405
178 2.6845  -455.3734 -1195582.9911 160.8025
179 2.6945  -455.3733 -1195582.7282 161.0654
180 2.7045  -455.3733 -1195582.5121 161.2815
181 2.7145  -455.3732 -1195582.2585 161.5351
182 2.7246  -455.3731 -1195582.0044 161.7892
183 2.7346  -455.3730 -1195581.7975 161.9961
184 2.7446  -455.3729 -1195581.5525 162.2411
185 2.7546  -455.3728 -1195581.3065 162.4871
186 2.7647  -455.3727 -1195581.1087 162.6849
187 2.7747  -455.3726 -1195580.8718 162.9218
188 2.7847  -455.3726 -1195580.6337 163.1599
189 2.7947  -455.3725 -1195580.4448 163.3488
190 2.8048  -455.3724 -1195580.2159 163.5777
191 2.8148  -455.3723 -1195579.9856 163.8080
192 2.8248  -455.3722 -1195579.8047 163.9889
193 2.8348  -455.3722 -1195579.5834 164.2102
194 2.8449  -455.3721 -1195579.3605 164.4331
195 2.8549  -455.3720 -1195579.1878 164.6059
196 2.8649  -455.3719 -1195578.9736 164.8200
197 2.8749  -455.3718 -1195578.7580 165.0356
198 2.8850  -455.3718 -1195578.5932 165.2004
199 2.8950  -455.3717 -1195578.3862 165.4074
200 2.9050  -455.3716 -1195578.1775 165.6161
201 2.9150  -455.3716 -1195578.0203 165.7733
202 2.9251  -455.3715 -1195577.8202 165.9735
203 2.9351  -455.3714 -1195577.6182 166.1755
204 2.9451  -455.3713 -1195577.4682 166.3254
205 2.9551  -455.3713 -1195577.2749 166.5187
206 2.9652  -455.3712 -1195577.0794 166.7143
207 2.9752  -455.3711 -1195576.9363 166.8573
208 2.9852  -455.3711 -1195576.7494 167.0442
209 2.9952  -455.3710 -1195576.5602 167.2334
210 3.0053  -455.3709 -1195576.4238 167.3698
211 3.0153  -455.3709 -1195576.2432 167.5504
212 3.0253  -455.3708 -1195576.0600 167.7336
213 3.0353  -455.3708 -1195575.9300 167.8636
214 3.0454  -455.3707 -1195575.7554 168.0382
215 3.0554  -455.3706 -1195575.5780 168.2156
216 3.0654  -455.3706 -1195575.4545 168.3392
217 3.0754  -455.3705 -1195575.2855 168.5081
218 3.0855  -455.3704 -1195575.1139 168.6797
219 3.0955  -455.3704 -1195574.9967 168.7969
220 3.1055  -455.3703 -1195574.8335 168.9601
221 3.1155  -455.3703 -1195574.6676 169.1260
222 3.1256  -455.3702 -1195574.5565 169.2372
223 3.1356  -455.3702 -1195574.3988 169.3948
224 3.1456  -455.3701 -1195574.2384 169.5552
225 3.1556  -455.3701 -1195574.1333 169.6603
226 3.1657  -455.3700 -1195573.9811 169.8126
227 3.1757  -455.3700 -1195573.8262 169.9674
228 3.1857  -455.3699 -1195573.7268 170.0668
229 3.1957  -455.3699 -1195573.5801 170.2135
230 3.2058  -455.3698 -1195573.4305 170.3632
231 3.2158  -455.3698 -1195573.3363 170.4573
232 3.2258  -455.3697 -1195573.1948 170.5988
233 3.2358  -455.3697 -1195573.0503 170.7433
234 3.2459  -455.3696 -1195572.9617 170.8319
235 3.2559  -455.3696 -1195572.8252 170.9684
236 3.2659  -455.3695 -1195572.6856 171.1080
237 3.2759  -455.3695 -1195572.6022 171.1914
238 3.2860  -455.3694 -1195572.4704 171.3232
239 3.2960  -455.3694 -1195572.3356 171.4580
240 3.3060  -455.3694 -1195572.2576 171.5360
241 3.3160  -455.3693 -1195572.1310 171.6626
242 3.3261  -455.3693 -1195572.0008 171.7928
