0 0.9000  -544.9096 -1430660.1806 1274.8256
1 0.9100  -544.9430 -1430747.9276 1187.0787
2 0.9201  -544.9745 -1430830.4595 1104.5468
3 0.9301  -545.0040 -1430908.0867 1026.9196
4 0.9401  -545.0318 -1430981.0493 953.9570
5 0.9501  -545.0579 -1431049.6227 885.3836
6 0.9602  -545.0825 -1431114.0281 820.9782
7 0.9702  -545.1055 -1431174.4797 760.5265
8 0.9802  -545.1271 -1431231.2318 703.7745
9 0.9902  -545.1474 -1431284.4798 650.5264
10 1.0003  -545.1664 -1431334.3927 600.6136
11 1.0103  -545.1842 -1431381.1323 553.8740
12 1.0203  -545.2009 -1431424.9507 510.0556
13 1.0303  -545.2165 -1431465.9335 469.0728
14 1.0404  -545.2311 -1431504.2430 430.7633
15 1.0504  -545.2447 -1431540.0786 394.9277
16 1.0604  -545.2575 -1431573.5322 361.4741
17 1.0704  -545.2694 -1431604.7449 330.2614
18 1.0805  -545.2805 -1431633.8321 301.1742
19 1.0905  -545.2908 -1431660.9162 274.0901
20 1.1005  -545.3004 -1431686.1333 248.8729
21 1.1105  -545.3093 -1431709.5492 225.4570
22 1.1206  -545.3176 -1431731.2912 203.7151
23 1.1306  -545.3252 -1431751.4343 183.5719
24 1.1406  -545.3323 -1431770.0752 164.9311
25 1.1506  -545.3389 -1431787.3138 147.6925
26 1.1607  -545.3450 -1431803.2097 131.7966
27 1.1707  -545.3505 -1431817.8413 117.1650
28 1.1807  -545.3557 -1431831.2850 103.7213
29 1.1907  -545.3604 -1431843.6031 91.4031
30 1.2008  -545.3647 -1431854.8948 80.1114
31 1.2108  -545.3686 -1431865.1734 69.8328
32 1.2208  -545.3721 -1431874.5117 60.4945
33 1.2308  -545.3754 -1431882.9969 52.0093
34 1.2409  -545.3783 -1431890.6382 44.3681
35 1.2509  -545.3809 -1431897.4973 37.5089
36 1.2609  -545.3832 -1431903.6527 31.3536
37 1.2709  -545.3853 -1431909.1072 25.8991
38 1.2810  -545.3871 -1431913.9152 21.0910
39 1.2910  -545.3887 -1431918.1474 16.8588
40 1.3010  -545.3901 -1431921.8017 13.2046
41 1.3110  -545.3913 -1431924.9266 10.0796
42 1.3211  -545.3923 -1431927.5848 7.4215
43 1.3311  -545.3932 -1431929.7710 5.2352
44 1.3411  -545.3938 -1431931.5264 3.4798
45 1.3511  -545.3944 -1431932.9126 2.0936
46 1.3612  -545.3947 -1431933.9156 1.0906
47 1.3712  -545.3950 -1431934.5748 0.4314
48 1.3812  -545.3951 -1431934.9432 0.0630
49 1.3912  -545.3952 -1431935.0063 0.0000
50 1.4013  -545.3951 -1431934.7963 0.2100
51 1.4113  -545.3949 -1431934.3684 0.6378
52 1.4213  -545.3947 -1431933.6987 1.3076
53 1.4313  -545.3943 -1431932.8177 2.1886
54 1.4414  -545.3939 -1431931.7791 3.2272
55 1.4514  -545.3935 -1431930.5532 4.4531
56 1.4614  -545.3929 -1431929.1701 5.8362
57 1.4714  -545.3924 -1431927.6769 7.3293
58 1.4815  -545.3918 -1431926.0439 8.9623
59 1.4915  -545.3911 -1431924.2929 10.7134
60 1.5015  -545.3904 -1431922.4827 12.5236
61 1.5115  -545.3897 -1431920.5667 14.4396
62 1.5216  -545.3889 -1431918.5750 16.4313
63 1.5316  -545.3881 -1431916.5480 18.4583
64 1.5416  -545.3873 -1431914.4511 20.5552
65 1.5516  -545.3865 -1431912.3005 22.7058
66 1.5617  -545.3857 -1431910.1556 24.8506
67 1.5717  -545.3849 -1431907.9600 27.0462
68 1.5817  -545.3840 -1431905.7424 29.2639
69 1.5917  -545.3832 -1431903.5393 31.4670
70 1.6018  -545.3823 -1431901.3110 33.6952
71 1.6118  -545.3815 -1431899.0669 35.9393
72 1.6218  -545.3806 -1431896.8762 38.1300
73 1.6318  -545.3798 -1431894.6657 40.3405
74 1.6419  -545.3790 -1431892.4658 42.5405
75 1.6519  -545.3781 -1431890.3108 44.6955
76 1.6619  -545.3773 -1431888.1561 46.8502
