0 0.9000  -1432.9869 -3762307.1212 1876.6093
1 0.9100  -1433.0243 -3762405.4036 1778.3268
2 0.9201  -1433.0589 -3762496.1291 1687.6013
3 0.9301  -1433.0916 -3762581.9613 1601.7691
4 0.9401  -1433.1222 -3762662.3884 1521.3420
5 0.9501  -1433.1512 -3762738.4892 1445.2412
6 0.9602  -1433.1783 -3762809.5977 1374.1328
7 0.9702  -1433.2039 -3762876.8563 1306.8741
8 0.9802  -1433.2279 -3762939.9455 1243.7850
9 0.9902  -1433.2509 -3763000.1597 1183.5708
10 1.0003  -1433.2724 -3763056.7245 1127.0059
11 1.0103  -1433.2927 -3763110.0227 1073.7078
12 1.0203  -1433.3119 -3763160.2866 1023.4438
13 1.0303  -1433.3299 -3763207.7491 975.9814
14 1.0404  -1433.3468 -3763251.9513 931.7792
15 1.0504  -1433.3634 -3763295.5642 888.1662
16 1.0604  -1433.3784 -3763335.0079 848.7225
17 1.0704  -1433.3926 -3763372.2672 811.4633
18 1.0805  -1433.4059 -3763407.2475 776.4829
19 1.0905  -1433.4186 -3763440.4507 743.2798
20 1.1005  -1433.4304 -3763471.5792 712.1512
21 1.1105  -1433.4414 -3763500.3710 683.3594
22 1.1206  -1433.4518 -3763527.6545 656.0760
23 1.1306  -1433.4747 -3763587.8579 595.8725
24 1.1406  -1433.4823 -3763607.9086 575.8219
25 1.1506  -1433.4895 -3763626.6213 557.1091
26 1.1607  -1433.4961 -3763644.0007 539.7297
27 1.1707  -1433.5022 -3763660.1074 523.6231
28 1.1807  -1433.5079 -3763675.0051 508.7254
29 1.1907  -1433.5131 -3763688.7622 494.9682
30 1.2008  -1433.5180 -3763701.4476 482.2828
31 1.2108  -1433.5224 -3763713.1216 470.6089
32 1.2208  -1433.5265 -3763723.8437 459.8868
33 1.2308  -1433.5302 -3763733.6697 450.0608
34 1.2409  -1433.5337 -3763742.6520 441.0785
35 1.2509  -1433.5368 -3763750.8380 432.8925
36 1.2609  -1433.5398 -3763758.6940 425.0364
37 1.2709  -1433.5423 -3763765.1920 418.5384
38 1.2810  -1433.5445 -3763771.1954 412.5350
39 1.2910  -1433.5466 -3763776.5929 407.1375
40 1.3010  -1433.5484 -3763781.4229 402.3075
41 1.3110  -1433.5502 -3763785.9728 397.7576
42 1.3211  -1433.5515 -3763789.5613 394.1691
43 1.3311  -1433.5528 -3763792.8140 390.9165
44 1.3411  -1433.5538 -3763795.6080 388.1224
45 1.3511  -1433.5547 -3763797.9780 385.7524
46 1.3612  -1433.5555 -3763800.0491 383.6814
47 1.3712  -1433.5561 -3763801.4996 382.2309
48 1.3812  -1433.5565 -3763802.4981 381.2323
49 1.3912  -1433.5568 -3763803.4737 380.2567
50 1.4013  -1433.5571 -3763804.1377 379.5927
51 1.4113  -1433.5573 -3763804.5896 379.1408
