0 0.9000  -765.4276 -2009630.2768 180.2641
1 0.9100  -765.4299 -2009636.1575 174.3834
2 0.9201  -765.4320 -2009641.6298 168.9111
3 0.9301  -765.4339 -2009646.7428 163.7981
4 0.9401  -765.4357 -2009651.5397 159.0012
5 0.9501  -765.4375 -2009656.0585 154.4824
6 0.9602  -765.4391 -2009660.3341 150.2068
7 0.9702  -765.4406 -2009664.3988 146.1421
8 0.9802  -765.4421 -2009668.2814 142.2595
9 0.9902  -765.4435 -2009672.0068 138.5341
10 1.0003  -765.4449 -2009675.5980 134.9429
11 1.0103  -765.4462 -2009679.0738 131.4671
12 1.0203  -765.4475 -2009682.4521 128.0888
13 1.0303  -765.4488 -2009685.7484 124.7925
14 1.0404  -765.4500 -2009688.9737 121.5672
15 1.0504  -765.4512 -2009692.1338 118.4071
16 1.0604  -765.4524 -2009695.2351 115.3058
17 1.0704  -765.4535 -2009698.2818 112.2591
18 1.0805  -765.4547 -2009701.2793 109.2616
19 1.0905  -765.4558 -2009704.2303 106.3106
20 1.1005  -765.4569 -2009707.1371 103.4038
21 1.1105  -765.4580 -2009710.0026 100.5383
22 1.1206  -765.4614 -2009718.9623 91.5786
23 1.1306  -765.4625 -2009721.9233 88.6176
24 1.1406  -765.4637 -2009724.8414 85.6995
25 1.1506  -765.4648 -2009727.7156 82.8253
26 1.1607  -765.4658 -2009730.5460 79.9949
27 1.1707  -765.4669 -2009733.3322 77.2087
28 1.1807  -765.4679 -2009736.0779 74.4630
29 1.1907  -765.4690 -2009738.7834 71.7575
30 1.2008  -765.4700 -2009741.4338 69.1072
31 1.2108  -765.4710 -2009744.0335 66.5074
32 1.2208  -765.4719 -2009746.5780 63.9629
33 1.2308  -765.4729 -2009749.0678 61.4731
34 1.2409  -765.4738 -2009751.4996 59.0413
35 1.2509  -765.4747 -2009753.8736 56.6673
36 1.2609  -765.4756 -2009756.1888 54.3521
37 1.2709  -765.4765 -2009758.4447 52.0962
38 1.2810  -765.4773 -2009760.6412 49.8997
39 1.2910  -765.4781 -2009762.7766 47.7643
40 1.3010  -765.4789 -2009764.8539 45.6870
41 1.3110  -765.4797 -2009766.8697 43.6712
42 1.3211  -765.4804 -2009768.8256 41.7153
43 1.3311  -765.4811 -2009770.7228 39.8181
44 1.3411  -765.4818 -2009772.5614 37.9795
45 1.3511  -765.4825 -2009774.3420 36.1989
46 1.3612  -765.4832 -2009776.0653 34.4756
47 1.3712  -765.4838 -2009777.7322 32.8087
48 1.3812  -765.4844 -2009779.3433 31.1976
49 1.3912  -765.4850 -2009780.8997 29.6412
50 1.4013  -765.4856 -2009782.4021 28.1388
51 1.4113  -765.4861 -2009783.8556 26.6853
52 1.4213  -765.4867 -2009785.2586 25.2823
53 1.4313  -765.4872 -2009786.7062 23.8347
54 1.4414  -765.4877 -2009788.0244 22.5165
55 1.4514  -765.4882 -2009789.2920 21.2489
56 1.4614  -765.4887 -2009790.5099 20.0310
57 1.4714  -765.4891 -2009791.6790 18.8619
58 1.4815  -765.4895 -2009792.8000 17.7409
59 1.4915  -765.4900 -2009793.8748 16.6661
60 1.5015  -765.4903 -2009794.9030 15.6379
61 1.5115  -765.4907 -2009795.8862 14.6547
62 1.5216  -765.4911 -2009796.8243 13.7166
63 1.5316  -765.4914 -2009797.7205 12.8204
64 1.5416  -765.4917 -2009798.5751 11.9658
65 1.5516  -765.4921 -2009799.3831 11.1578
66 1.5617  -765.4924 -2009800.2180 10.3229
67 1.5717  -765.4927 -2009800.9612 9.5797
68 1.5817  -765.4929 -2009801.6636 8.8773
69 1.5917  -765.4932 -2009802.3332 8.2077
70 1.6018  -765.4934 -2009802.9660 7.5749
71 1.6118  -765.4936 -2009803.5589 6.9820
72 1.6218  -765.4939 -2009804.1367 6.4042
73 1.6318  -765.4941 -2009804.6644 5.8765
74 1.6419  -765.4943 -2009805.1629 5.3780
75 1.6519  -765.4944 -2009805.6484 4.8925
76 1.6619  -765.4946 -2009806.0860 4.4549
77 1.6719  -765.4948 -2009806.4955 4.0454
78 1.6820  -765.4949 -2009806.8977 3.6432
79 1.6920  -765.4950 -2009807.2522 3.2887
80 1.7020  -765.4952 -2009807.5766 2.9643
81 1.7120  -765.4953 -2009807.9042 2.6367
82 1.7221  -765.4954 -2009808.1834 2.3575
83 1.7321  -765.4955 -2009808.4590 2.0819
84 1.7421  -765.4956 -2009808.6927 1.8482
85 1.7521  -765.4957 -2009808.8994 1.6415
86 1.7622  -765.4958 -2009809.2366 1.3043
87 1.7722  -765.4959 -2009809.4203 1.1206
88 1.7822  -765.4960 -2009809.6184 0.9225
89 1.7922  -765.4960 -2009809.7619 0.7790
90 1.8023  -765.4961 -2009809.9190 0.6219
91 1.8123  -765.4961 -2009810.0276 0.5133
92 1.8223  -765.4962 -2009810.1572 0.3837
93 1.8323  -765.4962 -2009810.2548 0.2861
94 1.8424  -765.4962 -2009810.3348 0.2061
95 1.8524  -765.4962 -2009810.3993 0.1416
96 1.8624  -765.4963 -2009810.4483 0.0926
97 1.8724  -765.4963 -2009810.4834 0.0575
98 1.8825  -765.4963 -2009810.5049 0.0360
99 1.8925  -765.4963 -2009810.5123 0.0286
100 1.9025  -765.4963 -2009810.5088 0.0321
101 1.9125  -765.4963 -2009810.4931 0.0478
102 1.9226  -765.4963 -2009810.4646 0.0763
103 1.9326  -765.4963 -2009810.4267 0.1142
104 1.9426  -765.4962 -2009810.3783 0.1626
105 1.9526  -765.4962 -2009810.3181 0.2228
106 1.9627  -765.4962 -2009810.3419 0.1990
107 1.9727  -765.4962 -2009810.3458 0.1951
108 1.9827  -765.4962 -2009810.2858 0.2551
109 1.9927  -765.4962 -2009810.2161 0.3248
110 2.0028  -765.4961 -2009810.1376 0.4033
111 2.0128  -765.4961 -2009810.0490 0.4919
112 2.0228  -765.4961 -2009809.9521 0.5888
113 2.0328  -765.4960 -2009809.8502 0.6907
114 2.0429  -765.4960 -2009809.7401 0.8008
115 2.0529  -765.4960 -2009809.6206 0.9203
116 2.0629  -765.4959 -2009809.4971 1.0438
117 2.0729  -765.4959 -2009809.3664 1.1745
118 2.0830  -765.4958 -2009809.2268 1.3141
119 2.0930  -765.4957 -2009809.0841 1.4568
120 2.1030  -765.4957 -2009808.9350 1.6059
121 2.1130  -765.4956 -2009808.7775 1.7634
122 2.1231  -765.4956 -2009808.6175 1.9234
123 2.1331  -765.4955 -2009808.4521 2.0888
124 2.1431  -765.4954 -2009808.2791 2.2618
125 2.1531  -765.4954 -2009808.1041 2.4368
126 2.1632  -765.4953 -2009807.9247 2.6162
127 2.1732  -765.4952 -2009807.7415 2.7994
128 2.1832  -765.4952 -2009807.5544 2.9865
129 2.1932  -765.4951 -2009807.3637 3.1772
130 2.2033  -765.4950 -2009807.1696 3.3713
131 2.2133  -765.4949 -2009806.9723 3.5686
132 2.2233  -765.4949 -2009806.7673 3.7736
133 2.2333  -765.4948 -2009806.5658 3.9751
134 2.2434  -765.4947 -2009806.3528 4.1881
135 2.2534  -765.4946 -2009806.1464 4.3945
136 2.2634  -765.4946 -2009805.9509 4.5900
137 2.2734  -765.4945 -2009805.7401 4.8008
138 2.2835  -765.4944 -2009805.5254 5.0155
139 2.2935  -765.4943 -2009805.3096 5.2313
140 2.3035  -765.4942 -2009805.0923 5.4486
141 2.3135  -765.4948 -2009806.7212 3.8197
142 2.3236  -765.4962 -2009810.3715 0.1694
143 2.3336  -765.4963 -2009810.4113 0.1296
144 2.3436  -765.4963 -2009810.4422 0.0987
145 2.3536  -765.4963 -2009810.4691 0.0718
146 2.3637  -765.4963 -2009810.4987 0.0422
147 2.3737  -765.4963 -2009810.5164 0.0245
148 2.3837  -765.4963 -2009810.5251 0.0158
149 2.3937  -765.4963 -2009810.5306 0.0103
150 2.4038  -765.4963 -2009810.5409 0.0000
151 2.4138  -765.4963 -2009810.5392 0.0017
152 2.4238  -765.4963 -2009810.5294 0.0115
153 2.4338  -765.4963 -2009810.5144 0.0265
154 2.4439  -765.4963 -2009810.5076 0.0333
155 2.4539  -765.4963 -2009810.4882 0.0527
156 2.4639  -765.4963 -2009810.4616 0.0793
157 2.4739  -765.4963 -2009810.4306 0.1103
158 2.4840  -765.4963 -2009810.4075 0.1334
159 2.4940  -765.4962 -2009810.3720 0.1689
160 2.5040  -765.4962 -2009810.3301 0.2108
161 2.5140  -765.4962 -2009810.2840 0.2569
162 2.5241  -765.4962 -2009810.2375 0.3034
163 2.5341  -765.4962 -2009810.1949 0.3460
164 2.5441  -765.4961 -2009810.1406 0.4003
165 2.5541  -765.4961 -2009810.0810 0.4599
166 2.5642  -765.4961 -2009810.0177 0.5232
167 2.5742  -765.4961 -2009809.9512 0.5897
168 2.5842  -765.4961 -2009809.8820 0.6589
169 2.5942  -765.4960 -2009809.8101 0.7308
170 2.6043  -765.4960 -2009809.7356 0.8053
171 2.6143  -765.4960 -2009809.6587 0.8822
172 2.6243  -765.4959 -2009809.5800 0.9609
173 2.6343  -765.4959 -2009809.5202 1.0207
174 2.6444  -765.4959 -2009809.4423 1.0986
175 2.6544  -765.4959 -2009809.3627 1.1782
176 2.6644  -765.4958 -2009809.2841 1.2568
177 2.6744  -765.4958 -2009809.3134 1.2275
178 2.6845  -765.4958 -2009809.2256 1.3153
179 2.6945  -765.4958 -2009809.1353 1.4056
180 2.7045  -765.4957 -2009809.0433 1.4976
181 2.7145  -765.4957 -2009808.9521 1.5888
182 2.7246  -765.4957 -2009808.8566 1.6843
183 2.7346  -765.4956 -2009808.7581 1.7828
184 2.7446  -765.4956 -2009808.6580 1.8829
185 2.7546  -765.4955 -2009808.5573 1.9836
186 2.7647  -765.4955 -2009808.4551 2.0858
187 2.7747  -765.4955 -2009808.3515 2.1894
188 2.7847  -765.4954 -2009808.2466 2.2943
189 2.7947  -765.4954 -2009808.1406 2.4003
190 2.8048  -765.4953 -2009808.0335 2.5074
191 2.8148  -765.4953 -2009807.9252 2.6157
192 2.8248  -765.4953 -2009807.8159 2.7250
193 2.8348  -765.4952 -2009807.7056 2.8353
194 2.8449  -765.4952 -2009807.5942 2.9467
195 2.8549  -765.4951 -2009807.4819 3.0590
