0 0.9000  -801.0069 -2103043.7198 730.4238
1 0.9100  -801.0213 -2103081.5205 692.6230
2 0.9201  -801.0349 -2103117.1653 656.9783
3 0.9301  -801.0477 -2103150.7629 623.3807
4 0.9401  -801.0598 -2103182.4158 591.7278
5 0.9501  -801.0711 -2103212.2218 561.9218
6 0.9602  -801.0818 -2103240.2734 533.8702
7 0.9702  -801.0919 -2103266.6590 507.4846
8 0.9802  -801.1013 -2103291.4625 482.6810
9 0.9902  -801.1102 -2103314.7641 459.3795
10 1.0003  -801.1185 -2103336.6400 437.5036
11 1.0103  -801.1263 -2103357.1631 416.9805
12 1.0203  -801.1337 -2103376.4034 397.7402
13 1.0303  -801.1405 -2103394.4275 379.7160
14 1.0404  -801.1469 -2103411.2997 362.8439
15 1.0504  -801.1530 -2103427.0810 347.0625
16 1.0604  -801.1586 -2103441.8304 332.3132
17 1.0704  -801.1638 -2103455.6038 318.5397
18 1.0805  -801.1687 -2103468.4551 305.6885
19 1.0905  -801.1733 -2103480.4353 293.7083
20 1.1005  -801.1775 -2103491.5935 282.5501
21 1.1105  -801.1815 -2103501.9764 272.1671
22 1.1206  -801.1852 -2103511.6291 262.5145
23 1.1306  -801.1886 -2103520.5945 253.5491
24 1.1406  -801.1917 -2103528.9139 245.2297
25 1.1506  -801.1947 -2103536.6272 237.5164
26 1.1607  -801.1974 -2103543.7726 230.3709
27 1.1707  -801.1999 -2103550.4356 223.7080
28 1.1807  -801.2023 -2103556.5538 217.5898
29 1.1907  -801.2044 -2103562.2085 211.9351
30 1.2008  -801.2064 -2103567.4333 206.7102
31 1.2108  -801.2082 -2103572.2603 201.8833
32 1.2208  -801.2099 -2103576.7203 197.4233
33 1.2308  -801.2115 -2103580.8433 193.3003
34 1.2409  -801.2130 -2103584.6723 189.4713
35 1.2509  -801.2143 -2103588.1988 185.9448
36 1.2609  -801.2156 -2103591.4651 182.6784
37 1.2709  -801.2167 -2103594.5000 179.6436
38 1.2810  -801.2178 -2103597.3249 176.8187
39 1.2910  -801.2188 -2103599.9629 174.1807
40 1.3010  -801.2197 -2103602.4359 171.7077
41 1.3110  -801.2206 -2103604.7647 169.3789
42 1.3211  -801.2215 -2103606.9690 167.1745
43 1.3311  -801.2223 -2103609.0672 165.0763
44 1.3411  -801.2230 -2103611.0763 163.0672
45 1.3511  -801.2238 -2103613.0122 161.1313
46 1.3612  -801.2245 -2103614.8894 159.2542
47 1.3712  -801.2252 -2103616.7210 157.4226
48 1.3812  -801.2259 -2103618.5188 155.6248
49 1.3912  -801.2265 -2103620.2933 153.8503
50 1.4013  -801.2272 -2103622.0534 152.0902
51 1.4113  -801.2279 -2103623.8069 150.3367
52 1.4213  -801.2286 -2103625.5734 148.5702
53 1.4313  -801.2292 -2103627.3506 146.7929
54 1.4414  -801.2308 -2103631.5450 142.5985
55 1.4514  -801.2321 -2103634.8121 139.3315
56 1.4614  -801.2333 -2103638.1502 135.9933
57 1.4714  -801.2346 -2103641.5319 132.6117
58 1.4815  -801.2359 -2103644.9365 129.2071
59 1.4915  -801.2372 -2103648.3487 125.7948
60 1.5015  -801.2385 -2103651.7556 122.3880
61 1.5115  -801.2398 -2103655.1465 118.9971
62 1.5216  -801.2411 -2103658.5137 115.6299
63 1.5316  -801.2424 -2103661.8498 112.2938
64 1.5416  -801.2436 -2103665.1475 108.9961
65 1.5516  -801.2449 -2103668.4064 105.7372
66 1.5617  -801.2461 -2103671.6164 102.5272
67 1.5717  -801.2473 -2103674.7783 99.3653
68 1.5817  -801.2485 -2103677.8881 96.2555
69 1.5917  -801.2496 -2103680.9437 93.1999
70 1.6018  -801.2508 -2103683.9426 90.2010
71 1.6118  -801.2519 -2103686.8839 87.2597
72 1.6218  -801.2530 -2103689.7656 84.3780
73 1.6318  -801.2541 -2103692.5880 81.5556
74 1.6419  -801.2551 -2103695.3505 78.7931
75 1.6519  -801.2562 -2103698.0509 76.0926
76 1.6619  -801.2572 -2103700.6892 73.4543
77 1.6719  -801.2581 -2103703.2679 70.8757
78 1.6820  -801.2591 -2103705.7849 68.3586
79 1.6920  -801.2600 -2103708.2409 65.9027
80 1.7020  -801.2610 -2103710.6363 63.5073
81 1.7120  -801.2618 -2103712.9715 61.1721
82 1.7221  -801.2627 -2103715.2470 58.8966
83 1.7321  -801.2636 -2103717.4633 56.6803
84 1.7421  -801.2644 -2103719.6211 54.5224
85 1.7521  -801.2652 -2103721.7212 52.4224
