0 0.9000  -1302.4845 -3419673.0603 80.1297
1 0.9100  -1302.4865 -3419678.3943 74.7957
2 0.9201  -1302.4913 -3419690.8054 62.3847
3 0.9301  -1302.4931 -3419695.6580 57.5320
4 0.9401  -1302.4947 -3419699.7620 53.4281
5 0.9501  -1302.4961 -3419703.4018 49.7882
6 0.9602  -1302.4973 -3419706.6283 46.5617
7 0.9702  -1302.4984 -3419709.4908 43.6993
8 0.9802  -1302.4993 -3419711.9985 41.1916
9 0.9902  -1302.5002 -3419714.2167 38.9733
10 1.0003  -1302.5009 -3419716.1888 37.0013
11 1.0103  -1302.5016 -3419717.9375 35.2525
12 1.0203  -1302.5022 -3419719.4961 33.6940
13 1.0303  -1302.5027 -3419720.8951 32.2950
14 1.0404  -1302.5032 -3419722.1601 31.0299
15 1.0504  -1302.5036 -3419723.3138 29.8762
16 1.0604  -1302.5040 -3419724.3769 28.8132
17 1.0704  -1302.5044 -3419725.3675 27.8226
18 1.0805  -1302.5048 -3419726.3015 26.8885
19 1.0905  -1302.5051 -3419727.1927 25.9973
20 1.1005  -1302.5054 -3419728.0523 25.1377
21 1.1105  -1302.5058 -3419728.8897 24.3003
22 1.1206  -1302.5061 -3419729.7136 23.4764
23 1.1306  -1302.5064 -3419730.5303 22.6597
24 1.1406  -1302.5067 -3419731.3443 21.8458
25 1.1506  -1302.5070 -3419732.1586 21.0314
26 1.1607  -1302.5073 -3419732.9752 20.2149
27 1.1707  -1302.5076 -3419733.7947 19.3953
28 1.1807  -1302.5079 -3419734.6173 18.5728
29 1.1907  -1302.5083 -3419735.4420 17.7481
30 1.2008  -1302.5086 -3419736.2674 16.9227
31 1.2108  -1302.5089 -3419737.0901 16.1000
32 1.2208  -1302.5092 -3419737.9118 15.2782
33 1.2308  -1302.5095 -3419738.7266 14.4634
34 1.2409  -1302.5098 -3419739.5338 13.6563
35 1.2509  -1302.5101 -3419740.3315 12.8586
36 1.2609  -1302.5104 -3419741.1168 12.0733
37 1.2709  -1302.5107 -3419741.8862 11.3038
38 1.2810  -1302.5110 -3419742.6379 10.5521
39 1.2910  -1302.5113 -3419743.3700 9.8201
40 1.3010  -1302.5116 -3419744.0800 9.1101
41 1.3110  -1302.5118 -3419744.7644 8.4256
42 1.3211  -1302.5121 -3419745.4303 7.7598
43 1.3311  -1302.5123 -3419746.0681 7.1220
44 1.3411  -1302.5125 -3419746.6764 6.5136
45 1.3511  -1302.5128 -3419747.2610 5.9290
46 1.3612  -1302.5130 -3419747.8130 5.3771
47 1.3712  -1302.5132 -3419748.3415 4.8485
48 1.3812  -1302.5134 -3419748.8368 4.3532
49 1.3912  -1302.5135 -3419749.3066 3.8835
50 1.4013  -1302.5137 -3419749.7459 3.4442
51 1.4113  -1302.5139 -3419750.1567 3.0334
52 1.4213  -1302.5140 -3419750.5388 2.6512
53 1.4313  -1302.5141 -3419750.8915 2.2985
54 1.4414  -1302.5143 -3419751.2185 1.9716
55 1.4514  -1302.5144 -3419751.5170 1.6731
56 1.4614  -1302.5145 -3419751.7866 1.4034
57 1.4714  -1302.5146 -3419752.0341 1.1559
58 1.4815  -1302.5147 -3419752.2532 0.9368
59 1.4915  -1302.5147 -3419752.4481 0.7419
60 1.5015  -1302.5148 -3419752.6180 0.5721
61 1.5115  -1302.5149 -3419752.7645 0.4255
62 1.5216  -1302.5149 -3419752.8890 0.3010
63 1.5316  -1302.5149 -3419752.9902 0.1999
64 1.5416  -1302.5150 -3419753.0706 0.1195
65 1.5516  -1302.5150 -3419753.1297 0.0603
66 1.5617  -1302.5150 -3419753.1680 0.0221
67 1.5717  -1302.5150 -3419753.1894 0.0007
68 1.5817  -1302.5150 -3419753.1901 0.0000
69 1.5917  -1302.5150 -3419753.1749 0.0151
70 1.6018  -1302.5150 -3419753.1402 0.0499
71 1.6118  -1302.5150 -3419753.0927 0.0974
72 1.6218  -1302.5150 -3419753.0274 0.1627
73 1.6318  -1302.5149 -3419752.9460 0.2440
74 1.6419  -1302.5149 -3419752.8507 0.3393
75 1.6519  -1302.5149 -3419752.7398 0.4503
76 1.6619  -1302.5148 -3419752.6184 0.5717
77 1.6719  -1302.5148 -3419752.4825 0.7075
78 1.6820  -1302.5147 -3419752.3336 0.8565
79 1.6920  -1302.5146 -3419752.1722 1.0179
80 1.7020  -1302.5146 -3419751.9983 1.1917
81 1.7120  -1302.5145 -3419751.8180 1.3721
82 1.7221  -1302.5144 -3419751.6247 1.5653
83 1.7321  -1302.5143 -3419751.4203 1.7697
84 1.7421  -1302.5143 -3419751.2071 1.9829
85 1.7521  -1302.5142 -3419750.9825 2.2075
86 1.7622  -1302.5141 -3419750.7519 2.4381
87 1.7722  -1302.5140 -3419750.5104 2.6796
88 1.7822  -1302.5139 -3419750.2622 2.9279
89 1.7922  -1302.5138 -3419750.0065 3.1836
90 1.8023  -1302.5137 -3419749.7414 3.4486
91 1.8123  -1302.5136 -3419749.4707 3.7194
92 1.8223  -1302.5135 -3419749.1919 3.9982
93 1.8323  -1302.5134 -3419748.9077 4.2824
94 1.8424  -1302.5133 -3419748.6157 4.5743
95 1.8524  -1302.5132 -3419748.3154 4.8747
96 1.8624  -1302.5130 -3419748.0117 5.1783
97 1.8724  -1302.5129 -3419747.7012 5.4888
98 1.8825  -1302.5128 -3419747.3860 5.8041
99 1.8925  -1302.5127 -3419747.0660 6.1240
100 1.9025  -1302.5126 -3419746.7396 6.4504
101 1.9125  -1302.5124 -3419746.4123 6.7778
102 1.9226  -1302.5123 -3419746.0788 7.1113
103 1.9326  -1302.5122 -3419745.7431 7.4469
104 1.9426  -1302.5121 -3419745.4028 7.7872
105 1.9526  -1302.5119 -3419745.0564 8.1337
106 1.9627  -1302.5118 -3419744.7155 8.4746
107 1.9727  -1302.5117 -3419744.3653 8.8248
108 1.9827  -1302.5115 -3419744.0167 9.1733
109 1.9927  -1302.5114 -3419743.6636 9.5265
110 2.0028  -1302.5113 -3419743.3110 9.8791
111 2.0128  -1302.5111 -3419742.9554 10.2346
112 2.0228  -1302.5110 -3419742.5986 10.5915
113 2.0328  -1302.5109 -3419742.2429 10.9471
114 2.0429  -1302.5107 -3419741.8855 11.3045
115 2.0529  -1302.5106 -3419741.5273 11.6627
116 2.0629  -1302.5104 -3419741.1702 12.0198
