0 0.9000  -1235.7804 -3244541.4679 136.7468
1 0.9100  -1235.7827 -3244547.5357 130.6790
2 0.9201  -1235.7848 -3244552.9774 125.2373
3 0.9301  -1235.7867 -3244557.8502 120.3646
4 0.9401  -1235.7883 -3244562.2068 116.0079
5 0.9501  -1235.7898 -3244566.0966 112.1181
6 0.9602  -1235.7911 -3244569.5686 108.6461
7 0.9702  -1235.7923 -3244572.6661 105.5486
8 0.9802  -1235.7934 -3244575.4795 102.7352
9 0.9902  -1235.7943 -3244578.0015 100.2132
10 1.0003  -1235.7952 -3244580.2714 97.9433
11 1.0103  -1235.7960 -3244582.3687 95.8460
12 1.0203  -1235.7967 -3244584.2765 93.9382
13 1.0303  -1235.7974 -3244586.0348 92.1799
14 1.0404  -1235.7980 -3244587.6925 90.5222
15 1.0504  -1235.7986 -3244589.2477 88.9670
16 1.0604  -1235.7992 -3244590.7237 87.4910
17 1.0704  -1235.7997 -3244592.1440 86.0707
18 1.0805  -1235.8002 -3244593.5219 84.6928
19 1.0905  -1235.8008 -3244594.8758 83.3389
20 1.1005  -1235.8013 -3244596.2175 81.9973
21 1.1105  -1235.8018 -3244597.5579 80.6568
22 1.1206  -1235.8023 -3244598.9072 79.3075
23 1.1306  -1235.8028 -3244600.2708 77.9439
24 1.1406  -1235.8033 -3244601.6539 76.5608
25 1.1506  -1235.8039 -3244603.0598 75.1549
26 1.1607  -1235.8044 -3244604.4902 73.7245
27 1.1707  -1235.8050 -3244605.9425 72.2722
28 1.1807  -1235.8055 -3244607.4256 70.7891
29 1.1907  -1235.8061 -3244608.9303 69.2845
30 1.2008  -1235.8067 -3244610.4473 67.7674
31 1.2108  -1235.8073 -3244612.0021 66.2126
32 1.2208  -1235.8079 -3244613.5622 64.6525
33 1.2308  -1235.8085 -3244615.1388 63.0759
34 1.2409  -1235.8091 -3244616.7278 61.4869
35 1.2509  -1235.8097 -3244618.3249 59.8898
36 1.2609  -1235.8103 -3244619.9271 58.2876
37 1.2709  -1235.8109 -3244621.5300 56.6847
38 1.2810  -1235.8115 -3244623.1303 55.0844
39 1.2910  -1235.8121 -3244624.7256 53.4891
40 1.3010  -1235.8127 -3244626.3093 51.9055
41 1.3110  -1235.8133 -3244627.8812 50.3335
42 1.3211  -1235.8139 -3244629.4388 48.7759
43 1.3311  -1235.8145 -3244630.9790 47.2357
44 1.3411  -1235.8151 -3244632.5008 45.7139
45 1.3511  -1235.8157 -3244634.0005 44.2142
46 1.3612  -1235.8162 -3244635.4761 42.7387
47 1.3712  -1235.8168 -3244636.9292 41.2855
48 1.3812  -1235.8173 -3244638.3563 39.8584
49 1.3912  -1235.8178 -3244639.7578 38.4569
50 1.4013  -1235.8184 -3244641.1329 37.0818
51 1.4113  -1235.8189 -3244642.4805 35.7342
52 1.4213  -1235.8194 -3244643.7996 34.4151
53 1.4313  -1235.8199 -3244645.0894 33.1253
54 1.4414  -1235.8204 -3244646.3492 31.8655
55 1.4514  -1235.8208 -3244647.5783 30.6364
56 1.4614  -1235.8213 -3244648.7765 29.4382
57 1.4714  -1235.8217 -3244649.9662 28.2485
58 1.4815  -1235.8222 -3244651.1030 27.1117
59 1.4915  -1235.8228 -3244652.6600 25.5547
60 1.5015  -1235.8232 -3244653.7629 24.4518
61 1.5115  -1235.8236 -3244654.8346 23.3801
62 1.5216  -1235.8240 -3244655.8673 22.3474
63 1.5316  -1235.8244 -3244656.8676 21.3472
64 1.5416  -1235.8247 -3244657.8350 20.3797
65 1.5516  -1235.8251 -3244658.7707 19.4440
66 1.5617  -1235.8254 -3244659.6755 18.5392
67 1.5717  -1235.8258 -3244660.5498 17.6649
68 1.5817  -1235.8261 -3244661.3946 16.8201
69 1.5917  -1235.8264 -3244662.2099 16.0048
70 1.6018  -1235.8267 -3244662.9964 15.2183
71 1.6118  -1235.8270 -3244663.7548 14.4599
72 1.6218  -1235.8273 -3244664.4855 13.7292
73 1.6318  -1235.8275 -3244665.1894 13.0253
74 1.6419  -1235.8278 -3244665.8661 12.3486
75 1.6519  -1235.8280 -3244666.5176 11.6971
76 1.6619  -1235.8283 -3244667.1429 11.0718
77 1.6719  -1235.8285 -3244667.7403 10.4744
78 1.6820  -1235.8287 -3244668.3118 9.9029
79 1.6920  -1235.8289 -3244668.8710 9.3437
80 1.7020  -1235.8291 -3244669.3968 8.8179
81 1.7120  -1235.8293 -3244669.9102 8.3045
82 1.7221  -1235.8295 -3244670.3914 7.8233
83 1.7321  -1235.8297 -3244670.8499 7.3648
84 1.7421  -1235.8299 -3244671.2827 6.9320
85 1.7521  -1235.8300 -3244671.7233 6.4914
86 1.7622  -1235.8302 -3244672.1219 6.0928
87 1.7722  -1235.8303 -3244672.5082 5.7065
88 1.7822  -1235.8305 -3244672.8692 5.3455
89 1.7922  -1235.8306 -3244673.2072 5.0075
90 1.8023  -1235.8307 -3244673.5513 4.6634
91 1.8123  -1235.8308 -3244673.8598 4.3549
92 1.8223  -1235.8309 -3244674.1476 4.0671
93 1.8323  -1235.8311 -3244674.4422 3.7725
94 1.8424  -1235.8312 -3244674.7038 3.5109
95 1.8524  -1235.8312 -3244674.9466 3.2681
96 1.8624  -1235.8313 -3244675.1987 3.0160
97 1.8724  -1235.8314 -3244675.4187 2.7960
98 1.8825  -1235.8315 -3244675.6216 2.5931
99 1.8925  -1235.8316 -3244675.8355 2.3792
100 1.9025  -1235.8317 -3244676.0190 2.1957
101 1.9125  -1235.8317 -3244676.1867 2.0280
102 1.9226  -1235.8318 -3244676.3686 1.8461
103 1.9326  -1235.8318 -3244676.5202 1.6945
104 1.9426  -1235.8319 -3244676.6578 1.5569
105 1.9526  -1235.8320 -3244676.8617 1.3530
106 1.9627  -1235.8320 -3244676.9894 1.2253
107 1.9727  -1235.8321 -3244677.1031 1.1116
108 1.9827  -1235.8321 -3244677.2196 0.9951
109 1.9927  -1235.8322 -3244677.3186 0.8961
110 2.0028  -1235.8322 -3244677.4124 0.8024
111 2.0128  -1235.8322 -3244677.4942 0.7205
112 2.0228  -1235.8323 -3244677.5790 0.6357
113 2.0328  -1235.8323 -3244677.6490 0.5657
114 2.0429  -1235.8323 -3244677.7137 0.5010
115 2.0529  -1235.8323 -3244677.7736 0.4411
116 2.0629  -1235.8323 -3244677.8218 0.3929
117 2.0729  -1235.8324 -3244677.8799 0.3348
118 2.0830  -1235.8324 -3244677.9219 0.2928
119 2.0930  -1235.8324 -3244677.9634 0.2513
120 2.1030  -1235.8324 -3244677.9960 0.2187
121 2.1130  -1235.8324 -3244678.0290 0.1857
122 2.1231  -1235.8324 -3244678.0536 0.1612
123 2.1331  -1235.8324 -3244678.0793 0.1354
124 2.1431  -1235.8324 -3244678.0969 0.1178
125 2.1531  -1235.8325 -3244678.1165 0.0982
126 2.1632  -1235.8325 -3244678.1281 0.0866
127 2.1732  -1235.8325 -3244678.1426 0.0721
128 2.1832  -1235.8325 -3244678.1490 0.0657
129 2.1932  -1235.8325 -3244678.1594 0.0553
130 2.2033  -1235.8325 -3244678.1617 0.0530
131 2.2133  -1235.8325 -3244678.1624 0.0523
132 2.2233  -1235.8325 -3244678.1615 0.0532
133 2.2333  -1235.8325 -3244678.1592 0.0555
134 2.2434  -1235.8325 -3244678.1511 0.0636
135 2.2534  -1235.8325 -3244678.1469 0.0678
136 2.2634  -1235.8325 -3244678.1352 0.0795
137 2.2734  -1235.8325 -3244678.1302 0.0845
138 2.2835  -1235.8325 -3244678.1164 0.0983
139 2.2935  -1235.8325 -3244678.1107 0.1040
140 2.3035  -1235.8324 -3244678.0952 0.1195
141 2.3135  -1235.8325 -3244678.1123 0.1024
142 2.3236  -1235.8325 -3244678.0989 0.1158
143 2.3336  -1235.8324 -3244678.0875 0.1272
144 2.3436  -1235.8324 -3244678.0771 0.1376
145 2.3536  -1235.8324 -3244678.0682 0.1465
146 2.3637  -1235.8324 -3244678.0511 0.1636
147 2.3737  -1235.8324 -3244678.0411 0.1736
148 2.3837  -1235.8324 -3244678.0224 0.1923
149 2.3937  -1235.8324 -3244678.0148 0.1999
150 2.4038  -1235.8324 -3244677.9962 0.2185
151 2.4138  -1235.8324 -3244677.9906 0.2241
152 2.4238  -1235.8324 -3244677.9725 0.2422
153 2.4338  -1235.8325 -3244678.1221 0.0926
154 2.4439  -1235.8325 -3244678.1113 0.1034
155 2.4539  -1235.8325 -3244678.1009 0.1138
156 2.4639  -1235.8324 -3244678.0904 0.1243
157 2.4739  -1235.8324 -3244678.0804 0.1343
158 2.4840  -1235.8324 -3244678.0710 0.1437
159 2.4940  -1235.8324 -3244678.0627 0.1520
160 2.5040  -1235.8324 -3244678.0557 0.1591
161 2.5140  -1235.8324 -3244678.0502 0.1645
162 2.5241  -1235.8324 -3244678.0469 0.1678
163 2.5341  -1235.8324 -3244678.0459 0.1688
164 2.5441  -1235.8324 -3244678.0359 0.1788
165 2.5541  -1235.8324 -3244678.0331 0.1816
166 2.5642  -1235.8325 -3244678.1912 0.0235
167 2.5742  -1235.8325 -3244678.1903 0.0244
168 2.5842  -1235.8325 -3244678.1890 0.0257
169 2.5942  -1235.8325 -3244678.1875 0.0272
170 2.6043  -1235.8325 -3244678.1862 0.0285
171 2.6143  -1235.8325 -3244678.1850 0.0297
172 2.6243  -1235.8325 -3244678.1828 0.0319
173 2.6343  -1235.8325 -3244678.1846 0.0301
174 2.6444  -1235.8325 -3244678.1815 0.0332
175 2.6544  -1235.8325 -3244678.2145 0.0002
176 2.6644  -1235.8325 -3244678.2147 0.0000
177 2.6744  -1235.8325 -3244678.2144 0.0003
178 2.6845  -1235.8325 -3244678.2131 0.0016
179 2.6945  -1235.8325 -3244678.2119 0.0028
180 2.7045  -1235.8325 -3244678.2098 0.0049
181 2.7145  -1235.8325 -3244678.2078 0.0069
182 2.7246  -1235.8325 -3244678.2047 0.0100
183 2.7346  -1235.8325 -3244678.2022 0.0125
184 2.7446  -1235.8325 -3244678.1984 0.0163
185 2.7546  -1235.8325 -3244678.1952 0.0195
186 2.7647  -1235.8325 -3244678.1909 0.0238
187 2.7747  -1235.8325 -3244678.1870 0.0277
188 2.7847  -1235.8325 -3244678.1819 0.0328
189 2.7947  -1235.8325 -3244678.1772 0.0375
190 2.8048  -1235.8325 -3244678.1713 0.0434
191 2.8148  -1235.8325 -3244678.1659 0.0488
192 2.8248  -1235.8325 -3244678.1599 0.0548
193 2.8348  -1235.8325 -3244678.1534 0.0613
194 2.8449  -1235.8325 -3244678.1466 0.0681
195 2.8549  -1235.8325 -3244678.1394 0.0753
196 2.8649  -1235.8325 -3244678.1319 0.0828
197 2.8749  -1235.8325 -3244678.1242 0.0905
198 2.8850  -1235.8325 -3244678.1161 0.0986
199 2.8950  -1235.8325 -3244678.1077 0.1070
200 2.9050  -1235.8325 -3244678.0991 0.1156
201 2.9150  -1235.8324 -3244678.0902 0.1245
202 2.9251  -1235.8324 -3244678.0811 0.1336
203 2.9351  -1235.8324 -3244678.0718 0.1429
204 2.9451  -1235.8324 -3244678.0622 0.1525
205 2.9551  -1235.8324 -3244678.0524 0.1623
206 2.9652  -1235.8324 -3244678.0423 0.1724
207 2.9752  -1235.8324 -3244678.0320 0.1827
208 2.9852  -1235.8324 -3244678.0216 0.1931
209 2.9952  -1235.8324 -3244678.0109 0.2038
210 3.0053  -1235.8324 -3244678.0000 0.2147
211 3.0153  -1235.8324 -3244677.9890 0.2257
212 3.0253  -1235.8324 -3244677.9777 0.2370
213 3.0353  -1235.8324 -3244677.9662 0.2485
214 3.0454  -1235.8324 -3244677.9546 0.2601
215 3.0554  -1235.8324 -3244677.9428 0.2719
216 3.0654  -1235.8324 -3244677.9308 0.2839
217 3.0754  -1235.8324 -3244677.9181 0.2966
218 3.0855  -1235.8324 -3244677.9062 0.3085
219 3.0955  -1235.8324 -3244677.8937 0.3210
220 3.1055  -1235.8324 -3244677.8816 0.3331
221 3.1155  -1235.8324 -3244677.8692 0.3455
222 3.1256  -1235.8324 -3244677.8572 0.3575
223 3.1356  -1235.8324 -3244677.8451 0.3696
224 3.1456  -1235.8323 -3244677.8323 0.3824
225 3.1556  -1235.8323 -3244677.8212 0.3935
226 3.1657  -1235.8323 -3244677.8078 0.4069
227 3.1757  -1235.8323 -3244677.7968 0.4179
228 3.1857  -1235.8323 -3244677.7832 0.4316
229 3.1957  -1235.8323 -3244677.7723 0.4424
230 3.2058  -1235.8323 -3244677.7582 0.4565
231 3.2158  -1235.8323 -3244677.7746 0.4401
232 3.2258  -1235.8323 -3244677.7600 0.4547
233 3.2358  -1235.8323 -3244677.7451 0.4696
234 3.2459  -1235.8323 -3244677.7296 0.4851
235 3.2559  -1235.8323 -3244677.7137 0.5010
236 3.2659  -1235.8323 -3244677.6974 0.5173
237 3.2759  -1235.8323 -3244677.6807 0.5340
238 3.2860  -1235.8323 -3244677.6636 0.5511
239 3.2960  -1235.8323 -3244677.6462 0.5685
240 3.3060  -1235.8323 -3244677.6285 0.5862
241 3.3160  -1235.8323 -3244677.6105 0.6042
242 3.3261  -1235.8323 -3244677.5923 0.6224
243 3.3361  -1235.8323 -3244677.5738 0.6409
244 3.3461  -1235.8322 -3244677.5551 0.6596
245 3.3561  -1235.8322 -3244677.5365 0.6782
246 3.3662  -1235.8322 -3244677.5178 0.6969
247 3.3762  -1235.8322 -3244677.4991 0.7156
248 3.3862  -1235.8322 -3244677.4836 0.7311
249 3.3962  -1235.8322 -3244677.4650 0.7497
250 3.4063  -1235.8322 -3244677.4504 0.7643
251 3.4163  -1235.8322 -3244677.4323 0.7824
252 3.4263  -1235.8322 -3244677.4194 0.7953
253 3.4363  -1235.8322 -3244677.4581 0.7566
254 3.4464  -1235.8322 -3244677.4406 0.7741
255 3.4564  -1235.8322 -3244677.4219 0.7928
256 3.4664  -1235.8322 -3244677.4036 0.8111
257 3.4764  -1235.8322 -3244677.3854 0.8293
258 3.4865  -1235.8322 -3244677.3675 0.8472
