0 0.9000  -879.9601 -2310335.2201 178.5715
1 0.9100  -879.9624 -2310341.1806 172.6110
2 0.9201  -879.9645 -2310346.7296 167.0620
3 0.9301  -879.9665 -2310351.9167 161.8749
4 0.9401  -879.9683 -2310356.7854 157.0062
5 0.9501  -879.9701 -2310361.3751 152.4165
6 0.9602  -879.9717 -2310365.7213 148.0702
7 0.9702  -879.9733 -2310369.8562 143.9354
8 0.9802  -879.9748 -2310373.8083 139.9833
9 0.9902  -879.9762 -2310377.6027 136.1889
10 1.0003  -879.9776 -2310381.2618 132.5298
11 1.0103  -879.9790 -2310384.8037 128.9879
12 1.0203  -879.9803 -2310388.2439 125.5477
13 1.0303  -879.9816 -2310391.5953 122.1963
14 1.0404  -879.9828 -2310394.8685 118.9231
15 1.0504  -879.9840 -2310398.0722 115.7194
16 1.0604  -879.9852 -2310401.2135 112.5781
17 1.0704  -879.9864 -2310404.2986 109.4930
18 1.0805  -879.9876 -2310407.3334 106.4582
19 1.0905  -879.9887 -2310410.3639 103.4277
20 1.1005  -879.9898 -2310413.3270 100.4645
21 1.1105  -879.9910 -2310416.2423 97.5493
22 1.1206  -879.9920 -2310419.1118 94.6798
23 1.1306  -879.9931 -2310421.9406 91.8510
24 1.1406  -879.9942 -2310424.7174 89.0742
25 1.1506  -879.9952 -2310427.4511 86.3405
26 1.1607  -879.9962 -2310430.1292 83.6624
27 1.1707  -879.9972 -2310432.7690 81.0226
28 1.1807  -879.9982 -2310435.3472 78.4443
29 1.1907  -879.9992 -2310437.8829 75.9087
30 1.2008  -880.0001 -2310440.3544 73.4372
31 1.2108  -880.0011 -2310442.7690 71.0226
32 1.2208  -880.0020 -2310445.1643 68.6273
33 1.2308  -880.0053 -2310453.8269 59.9647
34 1.2409  -880.0062 -2310456.2650 57.5266
35 1.2509  -880.0071 -2310458.6439 55.1477
36 1.2609  -880.0080 -2310460.9630 52.8286
37 1.2709  -880.0088 -2310463.2214 50.5702
38 1.2810  -880.0097 -2310465.4188 48.3728
39 1.2910  -880.0105 -2310467.5537 46.2379
40 1.3010  -880.0113 -2310469.6278 44.1638
41 1.3110  -880.0121 -2310471.6420 42.1496
42 1.3211  -880.0128 -2310473.5946 40.1970
43 1.3311  -880.0135 -2310475.4865 38.3051
44 1.3411  -880.0142 -2310477.3182 36.4734
45 1.3511  -880.0149 -2310479.0910 34.7006
46 1.3612  -880.0155 -2310480.8043 32.9873
47 1.3712  -880.0162 -2310482.4586 31.3330
48 1.3812  -880.0168 -2310484.0552 29.7364
49 1.3912  -880.0174 -2310485.5946 28.1970
50 1.4013  -880.0179 -2310487.0780 26.7136
51 1.4113  -880.0185 -2310488.5061 25.2855
52 1.4213  -880.0190 -2310489.8801 23.9115
53 1.4313  -880.0195 -2310491.2011 22.5905
54 1.4414  -880.0200 -2310492.4700 21.3216
